ライン,対象種別,座標,拠点ID,現所有連盟,所有サーバ,色区分,敵味方判定,現在状態,目標開放,必要な実行時間帯,対象判定,除外理由,確認状態,メモ
B,漁場,#440 B-1,#440:B-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-3,#440:B-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-5,#440:B-5,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-7,#440:B-7,WoW3,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#440 B-9,#440:B-9,WoW3,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#440 B-11,#440:B-11,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-13,#440:B-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-15,#440:B-15,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-17,#440:B-17,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#440 B-19,#440:B-19,ANH2,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
B,漁場,#440 B-21,#440:B-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-1,#476:A-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-3,#476:A-3,476T,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#476 A-5,#476:A-5,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-7,#476:A-7,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-9,#476:A-9,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-11,#476:A-11,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-13,#476:A-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#476 A-15,#476:A-15,R6q,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#476 A-17,#476:A-17,476X,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#476 A-19,#476:A-19,fIrE,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#476 A-21,#476:A-21,476B,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#476 B-1,#476:B-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-3,#476:B-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-5,#476:B-5,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-7,#476:B-7,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-9,#476:B-9,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-11,#476:B-11,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-13,#476:B-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-15,#476:B-15,R6q,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#476 B-17,#476:B-17,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-19,#476:B-19,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#476 B-21,#476:B-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#480 A-1,#480:A-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#480 A-3,#480:A-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#480 A-5,#480:A-5,GoDs,440,green,ally,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#480 A-7,#480:A-7,BAJ,440,green,ally,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#480 A-9,#480:A-9,TaW,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#480 A-11,#480:A-11,IMP,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#480 A-13,#480:A-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#480 A-15,#480:A-15,TaW,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#480 A-17,#480:A-17,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#480 A-19,#480:A-19,BAJ,440,green,ally,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#480 A-21,#480:A-21,TaW,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#480 B-1,#480:B-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#480 B-3,#480:B-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#480 B-5,#480:B-5,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#480 B-7,#480:B-7,BgNa,480,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#480 B-9,#480:B-9,IMP,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#480 B-11,#480:B-11,GcC,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#480 B-13,#480:B-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#480 B-15,#480:B-15,476A,476,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#480 B-17,#480:B-17,TIKW,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#480 B-19,#480:B-19,TIKW,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#480 B-21,#480:B-21,COZy,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#503 A-1,#503:A-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#503 A-3,#503:A-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#503 A-5,#503:A-5,Bye,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#503 A-7,#503:A-7,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#503 A-9,#503:A-9,COZy,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#503 A-11,#503:A-11,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#503 A-13,#503:A-13,hOe,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#503 A-15,#503:A-15,GX99,503,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#503 A-17,#503:A-17,Digg,480,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#503 A-19,#503:A-19,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#503 A-21,#503:A-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#503 B-1,#503:B-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#503 B-3,#503:B-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#503 B-5,#503:B-5,Bye,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#503 B-7,#503:B-7,Bye,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#503 B-9,#503:B-9,Bye,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#503 B-11,#503:B-11,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#503 B-13,#503:B-13,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#503 B-15,#503:B-15,AAOA,480,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#503 B-17,#503:B-17,TkTk,480,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#503 B-19,#503:B-19,Stj,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#503 B-21,#503:B-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#509 A-1,#509:A-1,tWD,509,green,ally,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#509 A-3,#509:A-3,SHA,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#509 A-5,#509:A-5,476Z,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#509 A-7,#509:A-7,476B,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#509 A-9,#509:A-9,476Z,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#509 A-11,#509:A-11,476A,476,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#509 A-13,#509:A-13,MOn,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#509 A-15,#509:A-15,TIKW,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#509 A-17,#509:A-17,KTVS,534,blue,self,owned,次回交戦日 7:00,23:00〜翌6:59,候補,,未確認,青文字連盟所有
A,漁場,#509 A-19,#509:A-19,GX99,503,red,enemy,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#509 A-21,#509:A-21,one,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#509 B-1,#509:B-1,tWD,509,green,ally,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#509 B-3,#509:B-3,4tH,534,blue,self,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,候補,,未確認,青文字連盟所有
B,漁場,#509 B-5,#509:B-5,eXt,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#509 B-7,#509:B-7,eXt,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#509 B-9,#509:B-9,eXt,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#509 B-11,#509:B-11,476d,476,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#509 B-13,#509:B-13,476d,476,red,enemy,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#509 B-15,#509:B-15,OWM,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#509 B-17,#509:B-17,one,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#509 B-19,#509:B-19,AoW,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#509 B-21,#509:B-21,one,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#511 A-1,#511:A-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#511 A-3,#511:A-3,u3o,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#511 A-5,#511:A-5,u3o,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#511 A-7,#511:A-7,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#511 A-9,#511:A-9,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#511 A-11,#511:A-11,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#511 A-13,#511:A-13,sbM,unknown,green,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
A,漁場,#511 A-15,#511:A-15,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#511 A-17,#511:A-17,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#511 A-19,#511:A-19,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#511 A-21,#511:A-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#511 B-1,#511:B-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#511 B-3,#511:B-3,u3o,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
B,漁場,#511 B-5,#511:B-5,K4TR,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#511 B-7,#511:B-7,u3o,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
B,漁場,#511 B-9,#511:B-9,K4TR,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#511 B-11,#511:B-11,EDFS,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#511 B-13,#511:B-13,WUG,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#511 B-15,#511:B-15,sbM,unknown,green,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,緑文字連盟は今回は運用対象外,除外,緑文字連盟は今回は運用対象外
B,漁場,#511 B-17,#511:B-17,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#511 B-19,#511:B-19,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#511 B-21,#511:B-21,nv8,unknown,unknown,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#523 A-1,#523:A-1,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#523 A-3,#523:A-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#523 A-5,#523:A-5,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#523 A-7,#523:A-7,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#523 A-9,#523:A-9,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#523 A-11,#523:A-11,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#523 A-13,#523:A-13,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#523 A-15,#523:A-15,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
A,漁場,#523 A-17,#523:A-17,5DU,unknown,unknown,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,要確認,連盟所属未解決,要確認,連盟所属未解決
A,漁場,#523 A-19,#523:A-19,K4TR,unknown,red,unknown,owned,次回交戦日 7:00,23:00〜翌6:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
A,漁場,#523 A-21,#523:A-21,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 7:00,23:00〜翌6:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#523 B-1,#523:B-1,EDFS,unknown,red,unknown,owned,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,敵候補のため保護パン対象外,除外,敵候補のため保護パン対象外
B,漁場,#523 B-3,#523:B-3,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#523 B-5,#523:B-5,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
B,漁場,#523 B-7,#523:B-7,,unknown,unknown,unknown,neutral_or_unknown,次回交戦日 23:00,11:00〜14:59 / 16:00〜22:59,除外,所有中ではない,除外,所有中ではない
