node_id,node_label,node_type,area,map_x,map_y,level,importance,is_map_visible,connectable,movement_role,permanent_status,permanent_status_at_jst,permanent_status_by,permanent_status_source,permanent_status_note
#440:f-16,f-16,都市,#440,749,549,,8,TRUE,TRUE,target_only,active,,,,
#440:f-6,f-6,都市,#440,249,549,,8,TRUE,TRUE,target_only,active,,,,
#440:H-1,H-1,漁場,#440,20,699,,3,TRUE,TRUE,transit,active,,,,
#440:B-9,B-9,漁場,#440,399,99,,3,TRUE,TRUE,transit,active,,,,
#440:J-3,J-3,漁場,#440,99,899,,3,TRUE,TRUE,transit,active,,,,
#440:F-21,F-21,漁場,#440,978,499,,3,TRUE,TRUE,transit,active,,,,
#440:J-11,J-11,漁場,#440,499,899,,3,TRUE,TRUE,transit,active,,,,
#440:I-1,I-1,漁場,#440,20,799,,3,TRUE,TRUE,transit,active,,,,
#440:J-15,J-15,漁場,#440,699,899,,3,TRUE,TRUE,transit,active,,,,
#440:a-10,a-10,都市,#440,449,49,,8,TRUE,TRUE,target_only,active,,,,
#440:A-11,A-11,漁場,#440,499,20,,3,TRUE,TRUE,transit,active,,,,
#440:a-12,a-12,都市,#440,549,49,,8,TRUE,TRUE,target_only,active,,,,
#440:A-13,A-13,漁場,#440,599,20,,3,TRUE,TRUE,transit,active,,,,
#440:a-14,a-14,都市,#440,649,49,,8,TRUE,TRUE,target_only,active,,,,
#440:A-15,A-15,漁場,#440,699,20,,3,TRUE,TRUE,transit,active,,,,
#440:a-16,a-16,都市,#440,749,49,,8,TRUE,TRUE,target_only,active,,,,
#440:A-17,A-17,漁場,#440,799,20,,3,TRUE,TRUE,transit,active,,,,
#440:a-18,a-18,都市,#440,849,49,,8,TRUE,TRUE,target_only,active,,,,
#440:A-19,A-19,漁場,#440,899,20,,3,TRUE,TRUE,transit,active,,,,
#440:a-2,a-2,都市,#440,49,49,,8,TRUE,TRUE,target_only,active,,,,
#440:A-21,A-21,漁場,#440,978,20,,3,TRUE,TRUE,transit,active,,,,
#440:A-3,A-3,漁場,#440,99,20,,3,TRUE,TRUE,transit,active,,,,
#440:a-4,a-4,都市,#440,149,49,,8,TRUE,TRUE,target_only,active,,,,
#440:a-6,a-6,都市,#440,249,49,,8,TRUE,TRUE,target_only,active,,,,
#440:a-8,a-8,都市,#440,349,49,,8,TRUE,TRUE,target_only,active,,,,
#440:B-1,B-1,漁場,#440,20,99,,3,TRUE,TRUE,transit,active,,,,
#440:B-11,B-11,漁場,#440,499,99,,3,TRUE,TRUE,transit,active,,,,
#440:B-13,B-13,漁場,#440,599,99,,3,TRUE,TRUE,transit,active,,,,
#440:B-15,B-15,漁場,#440,699,99,,3,TRUE,TRUE,transit,active,,,,
#440:b-16,b-16,都市,#440,749,149,,8,TRUE,TRUE,target_only,active,,,,
#440:B-17,B-17,漁場,#440,799,99,,3,TRUE,TRUE,transit,active,,,,
#440:b-18,b-18,都市,#440,849,149,,8,TRUE,TRUE,target_only,active,,,,
#440:b-2,b-2,都市,#440,49,149,,8,TRUE,TRUE,target_only,active,,,,
#440:b-20,b-20,都市,#440,949,149,,8,TRUE,TRUE,target_only,active,,,,
#440:B-21,B-21,漁場,#440,978,99,,3,TRUE,TRUE,transit,active,,,,
#440:B-3,B-3,漁場,#440,99,99,,3,TRUE,TRUE,transit,active,,,,
#440:b-4,b-4,都市,#440,149,149,,8,TRUE,TRUE,target_only,active,,,,
#440:B-5,B-5,漁場,#440,199,99,,3,TRUE,TRUE,transit,active,,,,
#440:b-6,b-6,都市,#440,249,149,,8,TRUE,TRUE,target_only,active,,,,
#440:b-8,b-8,都市,#440,349,149,,8,TRUE,TRUE,target_only,active,,,,
#440:C-1,C-1,漁場,#440,20,199,,3,TRUE,TRUE,transit,active,,,,
#440:c-14,c-14,都市,#440,649,249,,8,TRUE,TRUE,target_only,active,,,,
#440:c-16,c-16,都市,#440,749,249,,8,TRUE,TRUE,target_only,active,,,,
#440:c-18,c-18,都市,#440,849,249,,8,TRUE,TRUE,target_only,active,,,,
#440:C-19,C-19,漁場,#440,899,199,,3,TRUE,TRUE,transit,active,,,,
#440:c-2,c-2,都市,#440,49,249,,8,TRUE,TRUE,target_only,active,,,,
#440:c-20,c-20,都市,#440,949,249,,8,TRUE,TRUE,target_only,active,,,,
#440:C-21,C-21,漁場,#440,978,199,,3,TRUE,TRUE,transit,active,,,,
#440:C-3,C-3,漁場,#440,99,199,,3,TRUE,TRUE,transit,active,,,,
#440:c-4,c-4,都市,#440,149,249,,8,TRUE,TRUE,target_only,active,,,,
#440:c-6,c-6,都市,#440,249,249,,8,TRUE,TRUE,target_only,active,,,,
#440:c-8,c-8,都市,#440,349,249,,8,TRUE,TRUE,target_only,active,,,,
#440:d-10,d-10,都市,#440,449,349,,8,TRUE,TRUE,target_only,active,,,,
#440:D-11,D-11,漁場,#440,499,299,,3,TRUE,TRUE,transit,active,,,,
#440:D-13,D-13,漁場,#440,599,299,,3,TRUE,TRUE,transit,active,,,,
#440:D-17,D-17,漁場,#440,799,299,,3,TRUE,TRUE,transit,active,,,,
#440:d-18,d-18,都市,#440,849,349,,8,TRUE,TRUE,target_only,active,,,,
#440:d-2,d-2,都市,#440,49,349,,8,TRUE,TRUE,target_only,active,,,,
#440:d-20,d-20,都市,#440,949,349,,8,TRUE,TRUE,target_only,active,,,,
#440:D-21,D-21,漁場,#440,978,299,,3,TRUE,TRUE,transit,active,,,,
#440:d-4,d-4,都市,#440,149,349,,8,TRUE,TRUE,target_only,active,,,,
#440:d-8,d-8,都市,#440,349,349,,8,TRUE,TRUE,target_only,active,,,,
#440:D-9,D-9,漁場,#440,399,299,,3,TRUE,TRUE,transit,active,,,,
#440:e-10,e-10,都市,#440,449,449,,8,TRUE,TRUE,target_only,active,,,,
#440:e-12,e-12,都市,#440,549,449,,8,TRUE,TRUE,target_only,active,,,,
#440:E-13,E-13,漁場,#440,599,399,,3,TRUE,TRUE,transit,active,,,,
#440:E-15,E-15,漁場,#440,699,399,,3,TRUE,TRUE,transit,active,,,,
#440:e-18,e-18,都市,#440,849,449,,8,TRUE,TRUE,target_only,active,,,,
#440:E-19,E-19,漁場,#440,899,399,,3,TRUE,TRUE,transit,active,,,,
#440:e-2,e-2,都市,#440,49,449,,8,TRUE,TRUE,target_only,active,,,,
#440:e-20,e-20,都市,#440,949,449,,8,TRUE,TRUE,target_only,active,,,,
#440:E-21,E-21,漁場,#440,978,399,,3,TRUE,TRUE,transit,active,,,,
#440:E-3,E-3,漁場,#440,99,399,,3,TRUE,TRUE,transit,active,,,,
#440:e-8,e-8,都市,#440,349,449,,8,TRUE,TRUE,target_only,active,,,,
#440:F-1,F-1,漁場,#440,20,499,,3,TRUE,TRUE,transit,active,,,,
#440:f-10,f-10,都市,#440,449,549,,8,TRUE,TRUE,target_only,active,,,,
#440:F-11,F-11,漁場,#440,499,499,,3,TRUE,TRUE,transit,active,,,,
#440:f-12,f-12,都市,#440,549,549,,8,TRUE,TRUE,target_only,active,,,,
#440:F-15,F-15,漁場,#440,699,499,,3,TRUE,TRUE,transit,active,,,,
#440:F-17,F-17,漁場,#440,799,499,,3,TRUE,TRUE,transit,active,,,,
#440:f-18,f-18,都市,#440,849,549,,8,TRUE,TRUE,target_only,active,,,,
#440:F-19,F-19,漁場,#440,899,499,,3,TRUE,TRUE,transit,active,,,,
#440:f-2,f-2,都市,#440,49,549,,8,TRUE,TRUE,target_only,destroyed,2026/05/30 12:46,,legacy_management_table,都市破壊OCR IMG_1439.PNG / 2026/05/30 12:46:46 / #440 X:49 Y:549 Lv.1都市 / 攻撃側 #476[476M] / 防衛側 #440 / 宝箱×2 / 破壊済み・復活なし
#440:f-20,f-20,都市,#440,949,549,,8,TRUE,TRUE,target_only,active,,,,
#440:f-8,f-8,都市,#440,349,549,,8,TRUE,TRUE,target_only,active,,,,
#440:F-9,F-9,漁場,#440,399,499,,3,TRUE,TRUE,transit,active,,,,
#440:G-11,G-11,漁場,#440,499,599,,3,TRUE,TRUE,transit,active,,,,
#440:g-12,g-12,都市,#440,549,649,,8,TRUE,TRUE,target_only,active,,,,
#440:G-13,G-13,漁場,#440,599,599,,3,TRUE,TRUE,transit,active,,,,
#440:g-14,g-14,都市,#440,649,649,,8,TRUE,TRUE,target_only,active,,,,
#440:G-15,G-15,漁場,#440,699,599,,3,TRUE,TRUE,transit,active,,,,
#440:g-16,g-16,都市,#440,749,649,,8,TRUE,TRUE,target_only,active,,,,
#440:G-19,G-19,漁場,#440,899,599,,3,TRUE,TRUE,transit,active,,,,
#440:g-2,g-2,都市,#440,49,649,,8,TRUE,TRUE,target_only,active,,,,
#440:G-21,G-21,漁場,#440,978,599,,3,TRUE,TRUE,transit,active,,,,
#440:G-3,G-3,漁場,#440,99,599,,3,TRUE,TRUE,transit,active,,,,
#440:g-6,g-6,都市,#440,249,649,,8,TRUE,TRUE,target_only,active,,,,
#440:G-7,G-7,漁場,#440,299,599,,3,TRUE,TRUE,transit,active,,,,
#440:g-8,g-8,都市,#440,349,649,,8,TRUE,TRUE,target_only,active,,,,
#440:G-9,G-9,漁場,#440,399,599,,3,TRUE,TRUE,transit,active,,,,
#440:h-10,h-10,都市,#440,449,749,,8,TRUE,TRUE,target_only,active,,,,
#440:H-11,H-11,漁場,#440,499,699,,3,TRUE,TRUE,transit,active,,,,
#440:h-12,h-12,都市,#440,549,749,,8,TRUE,TRUE,target_only,active,,,,
#440:H-13,H-13,漁場,#440,599,699,,3,TRUE,TRUE,transit,active,,,,
#440:h-14,h-14,都市,#440,649,749,,8,TRUE,TRUE,target_only,active,,,,
#440:H-15,H-15,漁場,#440,699,699,,3,TRUE,TRUE,transit,active,,,,
#440:h-16,h-16,都市,#440,749,749,,8,TRUE,TRUE,target_only,active,,,,
#440:H-19,H-19,漁場,#440,899,699,,3,TRUE,TRUE,transit,active,,,,
#440:h-2,h-2,都市,#440,49,749,,8,TRUE,TRUE,target_only,active,,,,
#440:h-20,h-20,都市,#440,949,749,,8,TRUE,TRUE,target_only,active,,,,
#440:H-21,H-21,漁場,#440,978,699,,3,TRUE,TRUE,transit,active,,,,
#440:h-6,h-6,都市,#440,249,749,,8,TRUE,TRUE,target_only,active,,,,
#440:h-8,h-8,都市,#440,349,749,,8,TRUE,TRUE,target_only,active,,,,
#440:H-9,H-9,漁場,#440,399,699,,3,TRUE,TRUE,transit,active,,,,
#440:i-10,i-10,都市,#440,449,849,,8,TRUE,TRUE,target_only,active,,,,
#440:I-11,I-11,漁場,#440,499,799,,3,TRUE,TRUE,transit,active,,,,
#440:i-12,i-12,都市,#440,549,849,,8,TRUE,TRUE,target_only,active,,,,
#440:I-13,I-13,漁場,#440,599,799,,3,TRUE,TRUE,transit,active,,,,
#440:i-14,i-14,都市,#440,649,849,,8,TRUE,TRUE,target_only,active,,,,
#440:I-17,I-17,漁場,#440,799,799,,3,TRUE,TRUE,transit,active,,,,
#440:i-18,i-18,都市,#440,849,849,,8,TRUE,TRUE,target_only,destroyed,2026/05/30 20:41,,legacy_management_table,"Dropbox破壊OCR IMG_1466.PNG / 2026/05/30 20:41:23 / #480[AAOA] が #440 領有中の Lv.1都市 #440(849,849) を破壊 / 宝箱x2 / 破壊済み・復活なし"
#440:I-19,I-19,漁場,#440,899,799,,3,TRUE,TRUE,transit,active,,,,
#440:i-2,i-2,都市,#440,49,849,,8,TRUE,TRUE,target_only,active,,,,
#440:i-20,i-20,都市,#440,949,849,,8,TRUE,TRUE,target_only,active,,,,
#440:I-21,I-21,漁場,#440,978,799,,3,TRUE,TRUE,transit,active,,,,
#440:I-3,I-3,漁場,#440,99,799,,3,TRUE,TRUE,transit,active,,,,
#440:i-4,i-4,都市,#440,149,849,,8,TRUE,TRUE,target_only,active,,,,
#440:I-7,I-7,漁場,#440,299,799,,3,TRUE,TRUE,transit,active,,,,
#440:i-8,i-8,都市,#440,349,849,,8,TRUE,TRUE,target_only,active,,,,
#440:I-9,I-9,漁場,#440,399,799,,3,TRUE,TRUE,transit,active,,,,
#440:J-1,J-1,漁場,#440,20,899,,3,TRUE,TRUE,transit,active,,,,
#440:J-19,J-19,漁場,#440,899,899,,3,TRUE,TRUE,transit,active,,,,
#440:J-21,J-21,漁場,#440,978,899,,3,TRUE,TRUE,transit,active,,,,
#440:J-5,J-5,漁場,#440,199,899,,3,TRUE,TRUE,transit,active,,,,
#440:J-9,J-9,漁場,#440,399,899,,3,TRUE,TRUE,transit,active,,,,
#440:K-1,K-1,漁場,#440,20,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-11,K-11,漁場,#440,499,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-13,K-13,漁場,#440,599,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-15,K-15,漁場,#440,699,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-17,K-17,漁場,#440,799,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-19,K-19,漁場,#440,899,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-21,K-21,漁場,#440,978,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-3,K-3,漁場,#440,99,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-5,K-5,漁場,#440,199,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-7,K-7,漁場,#440,299,978,,3,TRUE,TRUE,transit,active,,,,
#440:K-9,K-9,漁場,#440,399,978,,3,TRUE,TRUE,transit,active,,,,
#476:g-18,g-18,都市,#476,849,649,,8,TRUE,TRUE,target_only,active,,,,
#476:C-15,C-15,漁場,#476,699,199,,3,TRUE,TRUE,transit,active,,,,
#476:G-9,G-9,漁場,#476,399,599,,3,TRUE,TRUE,transit,active,,,,
#476:F-15,F-15,漁場,#476,699,499,,3,TRUE,TRUE,transit,active,,,,
#476:E-15,E-15,漁場,#476,699,399,,3,TRUE,TRUE,transit,active,,,,
#476:H-9,H-9,漁場,#476,399,699,,3,TRUE,TRUE,transit,active,,,,
#476:J-5,J-5,漁場,#476,199,899,,3,TRUE,TRUE,transit,active,,,,
#476:C-11,C-11,漁場,#476,499,199,,3,TRUE,TRUE,transit,active,,,,
#476:I-7,I-7,漁場,#476,299,799,,3,TRUE,TRUE,transit,active,,,,
#476:H-3,H-3,漁場,#476,99,699,,3,TRUE,TRUE,transit,active,,,,
#476:H-5,H-5,漁場,#476,199,699,,3,TRUE,TRUE,transit,active,,,,
#476:I-9,I-9,漁場,#476,399,799,,3,TRUE,TRUE,transit,active,,,,
#476:J-11,J-11,漁場,#476,499,899,,3,TRUE,TRUE,transit,active,,,,
#476:I-19,I-19,漁場,#476,899,799,,3,TRUE,TRUE,transit,active,,,,
#476:g-4,g-4,都市,#476,149,649,,8,TRUE,TRUE,target_only,active,,,,
#476:c-2,c-2,都市,#476,49,249,,8,TRUE,TRUE,target_only,active,,,,
#476:F-3,F-3,漁場,#476,99,499,,3,TRUE,TRUE,transit,active,,,,
#476:f-4,f-4,都市,#476,149,549,,8,TRUE,TRUE,target_only,active,,,,
#476:g-10,g-10,都市,#476,449,649,,8,TRUE,TRUE,target_only,active,,,,
#476:g-12,g-12,都市,#476,549,649,,8,TRUE,TRUE,target_only,active,,,,
#476:a-10,a-10,都市,#476,449,49,,8,TRUE,TRUE,target_only,active,,,,
#476:a-12,a-12,都市,#476,549,49,,8,TRUE,TRUE,target_only,active,,,,
#476:d-10,d-10,都市,#476,449,349,,8,TRUE,TRUE,target_only,active,,,,
#476:d-12,d-12,都市,#476,549,349,,8,TRUE,TRUE,target_only,active,,,,
#476:J-19,J-19,漁場,#476,899,899,,3,TRUE,TRUE,transit,active,,,,
#476:D-21,D-21,漁場,#476,978,299,,3,TRUE,TRUE,transit,active,,,,
#476:c-20,c-20,都市,#476,949,249,,8,TRUE,TRUE,target_only,active,,,,
#476:a-18,a-18,都市,#476,849,49,,8,TRUE,TRUE,target_only,active,,,,
#476:f-6,f-6,都市,#476,249,549,,8,TRUE,TRUE,target_only,active,,,,
#476:H-17,H-17,漁場,#476,799,699,,3,TRUE,TRUE,transit,active,,,,
#476:J-17,J-17,漁場,#476,799,899,,3,TRUE,TRUE,transit,active,,,,
#476:J-15,J-15,漁場,#476,699,899,,3,TRUE,TRUE,transit,active,,,,
#476:G-11,G-11,漁場,#476,499,599,,3,TRUE,TRUE,transit,active,,,,
#476:j-10,j-10,交易地,#476,449,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-14,j-14,交易地,#476,649,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-8,j-8,交易地,#476,349,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-16,j-16,交易地,#476,749,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-2,j-2,交易地,#476,49,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-12,j-12,交易地,#476,549,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-18,j-18,交易地,#476,849,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-20,j-20,交易地,#476,949,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-4,j-4,交易地,#476,149,949,,1,TRUE,FALSE,isolated,active,,,,
#476:j-6,j-6,交易地,#476,249,949,,1,TRUE,FALSE,isolated,active,,,,
#476:C-17,C-17,漁場,#476,799,199,,3,TRUE,TRUE,transit,active,,,,
#476:D-15,D-15,漁場,#476,699,299,,3,TRUE,TRUE,transit,active,,,,
#476:G-5,G-5,漁場,#476,199,599,,3,TRUE,TRUE,transit,active,,,,
#476:D-17,D-17,漁場,#476,799,299,,3,TRUE,TRUE,transit,active,,,,
#476:D-3,D-3,漁場,#476,99,299,,3,TRUE,TRUE,transit,active,,,,
#476:I-13,I-13,漁場,#476,599,799,,3,TRUE,TRUE,transit,active,,,,
#476:A-19,A-19,漁場,#476,899,20,,3,TRUE,TRUE,transit,active,,,,
#476:G-15,G-15,漁場,#476,699,599,,3,TRUE,TRUE,transit,active,,,,
#476:A-17,A-17,漁場,#476,799,20,,3,TRUE,TRUE,transit,active,,,,
#476:C-19,C-19,漁場,#476,899,199,,3,TRUE,TRUE,transit,active,,,,
#476:A-21,A-21,漁場,#476,978,20,,3,TRUE,TRUE,transit,active,,,,
#476:c-6,c-6,都市,#476,249,249,,8,TRUE,TRUE,target_only,active,,,,
#476:d-6,d-6,都市,#476,249,349,,8,TRUE,TRUE,target_only,active,,,,
#476:h-20,h-20,都市,#476,949,749,,8,TRUE,TRUE,target_only,active,,,,
#476:d-2,d-2,都市,#476,49,349,,8,TRUE,TRUE,target_only,active,,,,
#476:G-17,G-17,漁場,#476,799,599,,3,TRUE,TRUE,transit,active,,,,
#476:J-3,J-3,漁場,#476,99,899,,3,TRUE,TRUE,transit,active,,,,
#476:f-16,f-16,都市,#476,749,549,,8,TRUE,TRUE,target_only,active,,,,
#476:h-18,h-18,都市,#476,849,749,,8,TRUE,TRUE,target_only,active,,,,
#476:b-6,b-6,都市,#476,249,149,,8,TRUE,TRUE,target_only,active,,,,
#476:b-8,b-8,都市,#476,349,149,,8,TRUE,TRUE,target_only,active,,,,
#476:b-20,b-20,都市,#476,949,149,,8,TRUE,TRUE,target_only,active,,,,
#476:D-19,D-19,漁場,#476,899,299,,3,TRUE,TRUE,transit,active,,,,
#476:e-20,e-20,都市,#476,949,449,,8,TRUE,TRUE,target_only,active,,,,
#476:g-14,g-14,都市,#476,649,649,,8,TRUE,TRUE,target_only,active,,,,
#476:g-8,g-8,都市,#476,349,649,,8,TRUE,TRUE,target_only,active,,,,
#476:I-5,I-5,漁場,#476,199,799,,3,TRUE,TRUE,transit,active,,,,
#476:f-14,f-14,都市,#476,649,549,,8,TRUE,TRUE,target_only,active,,,,
#476:d-14,d-14,都市,#476,649,349,,8,TRUE,TRUE,target_only,active,,,,
#476:G-3,G-3,漁場,#476,99,599,,3,TRUE,TRUE,transit,active,,,,
#476:i-6,i-6,都市,#476,249,849,,8,TRUE,TRUE,target_only,active,,,,
#476:i-8,i-8,都市,#476,349,849,,8,TRUE,TRUE,target_only,active,,,,
#476:e-14,e-14,都市,#476,649,449,,8,TRUE,TRUE,target_only,active,,,,
#476:B-15,B-15,漁場,#476,699,99,,3,TRUE,TRUE,transit,active,,,,
#476:A-1,A-1,漁場,#476,20,20,,3,TRUE,TRUE,transit,active,,,,
#476:A-11,A-11,漁場,#476,499,20,,3,TRUE,TRUE,transit,active,,,,
#476:A-13,A-13,漁場,#476,599,20,,3,TRUE,TRUE,transit,active,,,,
#476:a-14,a-14,都市,#476,649,49,,8,TRUE,TRUE,target_only,active,,,,
