alliance,resolved_server,server_side,source,appearance_count,appears_in_briefing,appears_as_enemy,appears_as_self_or_ally,appears_in_areas,sample_nodes,risk_flag,review_status,manual_server_override,manual_note
JL2,unknown,unknown,node_current:unknown,15,FALSE,FALSE,FALSE,#511; 中央,#511:I-5; #511:F-5; #511:j-8; #511:G-5; #511:H-3; #511:j-6; #511:h-4; #511:i-6,unknown_resolved_server,needs_review,,
JLO,unknown,unknown,node_current:unknown,12,FALSE,FALSE,FALSE,#511; #523; 中央,#511:D-13; #511:H-7; #511:H-9; #511:g-8; #511:c-8; #511:h-8; #523:J-19; #523:I-19,unknown_resolved_server,needs_review,,
JlZ,unknown,unknown,node_current:unknown,1,FALSE,FALSE,FALSE,中央,中央:中央-20-8,unknown_resolved_server,needs_review,,
K4TR,unknown,unknown,node_current:unknown,15,FALSE,FALSE,FALSE,#511; #523; 中央,#511:A-7; #511:B-5; #511:C-3; #511:A-11; #511:A-9; #523:A-11; #523:b-6; #523:E-19,unknown_resolved_server,needs_review,,
KOCH,unknown,unknown,node_current:unknown,3,FALSE,FALSE,FALSE,#509,#509:h-2; #509:H-3; #509:K-1,unknown_resolved_server,needs_review,,
Kfk,unknown,unknown,node_current:unknown,5,FALSE,FALSE,FALSE,#476; 中央,#476:I-19; #476:h-20; #476:I-21; 中央:中央-5-1; 中央:中央-5-2,unknown_resolved_server,needs_review,,
Lghs,503,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; node_current:alliance_directory,44,FALSE,TRUE,FALSE,#476; #480; #503; #509; #523; #534; 中央,#476:G-9; #480:K-5; #503:e-8; #503:d-10; #503:a-2; #503:c-2; #503:g-2; #503:a-4,enemy_in_534_area,needs_review,,
MOE,unknown,unknown,node_current:unknown,7,FALSE,FALSE,FALSE,#534; 中央,#534:B-15; #534:b-16; #534:C-17; #534:D-17; 中央:中央-11-5; 中央:中央-14-5; 中央:中央-14-6,unknown_resolved_server,needs_review,,
MOn,unknown,unknown,node_current:unknown,15,FALSE,FALSE,FALSE,#509; 中央,#509:F-15; #509:h-12; #509:h-14; #509:I-13; #509:h-10; #509:A-13; #509:g-10; #509:G-11,unknown_resolved_server,needs_review,,
MtG,unknown,unknown,node_current:unknown,11,FALSE,FALSE,FALSE,#480; 中央,#480:K-15; #480:h-4; #480:I-1; #480:h-2; #480:F-1; #480:G-1; #480:j-16; 中央:中央-15-16,unknown_resolved_server,needs_review,,
NBNH,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#511; #523; 中央,#511:I-3; #511:I-9; #523:g-18; #523:g-16; #523:G-17; #523:c-20; #523:I-17; #523:e-14,unknown_resolved_server,needs_review,,
OOEf,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#511,#511:J-9; #511:K-9,unknown_resolved_server,needs_review,,
OTT,unknown,unknown,node_current:unknown,10,FALSE,FALSE,FALSE,#509,#509:K-11; #509:K-13; #509:K-15; #509:G-17; #509:j-18; #509:i-18; #509:j-14; #509:j-16,unknown_resolved_server,needs_review,,
OWM,unknown,unknown,node_current:unknown,12,FALSE,FALSE,FALSE,#509,#509:B-15; #509:b-16; #509:G-15; #509:i-6; #509:i-8; #509:J-3; #509:J-5; #509:j-6,unknown_resolved_server,needs_review,,
PmP,unknown,unknown,node_current:unknown,12,FALSE,FALSE,FALSE,#480; 中央,#480:C-5; #480:D-1; #480:E-1; #480:e-4; #480:d-4; #480:D-3; 中央:中央-12-17; 中央:中央-17-19,unknown_resolved_server,needs_review,,
R6q,unknown,unknown,node_current:unknown,13,FALSE,FALSE,FALSE,#476; #523,#476:C-15; #476:E-15; #476:D-21; #476:c-20; #476:C-17; #476:D-15; #476:D-17; #476:C-19,unknown_resolved_server,needs_review,,
RCON,480,enemy,alliance_directory:map_snapshot; current_enemy_nodes_v2.csv; node_current:alliance_directory,44,FALSE,TRUE,FALSE,#480; #503; #509; #534; 中央,#480:G-7; #480:E-5; #480:g-10; #480:i-4; #480:I-5; #480:a-4; #480:a-2; #480:a-8,enemy_in_534_area,needs_review,,
RGWC,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#534,#534:d-6; #534:F-7; #534:G-7; #534:H-5; #534:H-7; #534:e-8; #534:D-3; #534:h-10,unknown_resolved_server,needs_review,,
RING,unknown,unknown,node_current:unknown,4,FALSE,FALSE,FALSE,#503,#503:J-11; #503:J-15; #503:J-13; #503:K-9,unknown_resolved_server,needs_review,,
Ryu1,unknown,unknown,node_current:unknown,5,FALSE,FALSE,FALSE,#534,#534:g-2; #534:H-1; #534:h-2; #534:H-3; #534:h-4,unknown_resolved_server,needs_review,,
SHA0,unknown,unknown,node_current:unknown,6,FALSE,FALSE,FALSE,#534; 中央,#534:A-9; #534:B-9; #534:b-8; 中央:中央-11-4; 中央:中央-12-4; 中央:中央-13-4,unknown_resolved_server,needs_review,,
SVh,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#511,#511:C-7; #511:C-5,unknown_resolved_server,needs_review,,
SVo,unknown,unknown,node_current:unknown,1,FALSE,FALSE,FALSE,#511,#511:K-17,unknown_resolved_server,needs_review,,
Skh,unknown,unknown,node_current:unknown,5,FALSE,FALSE,FALSE,#534,#534:b-2; #534:B-1; #534:C-1; #534:D-1; #534:E-1,unknown_resolved_server,needs_review,,
Stj,unknown,unknown,node_current:unknown,12,FALSE,FALSE,FALSE,#503; #509; #511; 中央,#503:f-14; #503:f-2; #503:B-19; #503:E-15; #503:I-1; #509:I-15; #509:I-17; #509:I-21,unknown_resolved_server,needs_review,,
TIKW,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#480; #503; #509; 中央,#480:H-7; #480:C-19; #480:E-17; #480:F-17; #503:E-17; #503:i-2; #503:F-5; #503:b-16,unknown_resolved_server,needs_review,,
TRh,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#511,#511:F-21; #511:E-21,unknown_resolved_server,needs_review,,
TaW,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#440; #480; 中央,#440:d-16; #440:i-16; #440:E-17; #440:j-20; #440:F-13; #440:J-17; #440:J-13; #440:e-16,unknown_resolved_server,needs_review,,
TrX,unknown,unknown,node_current:unknown,15,FALSE,FALSE,FALSE,#440; #511; 中央,#440:G-17; #440:F-5; #440:G-5; #440:h-18; #440:g-20; #440:D-1; #440:F-3; #440:H-17,unknown_resolved_server,needs_review,,
Trh,unknown,unknown,node_current:unknown,5,FALSE,FALSE,FALSE,#534,#534:C-15; #534:b-14; #534:B-11; #534:A-11; #534:D-15,unknown_resolved_server,needs_review,,
UMN,unknown,unknown,node_current:unknown,10,FALSE,FALSE,FALSE,#503; #509; 中央,#503:K-1; #503:I-13; #503:H-13; #503:j-2; #503:J-3; #509:H-19; #509:I-19; #509:K-21,unknown_resolved_server,needs_review,,
UrE,unknown,unknown,node_current:unknown,3,FALSE,FALSE,FALSE,#523,#523:H-3; #523:K-1; #523:I-1,unknown_resolved_server,needs_review,,
WUG,unknown,unknown,node_current:unknown,18,FALSE,FALSE,FALSE,#511; #523; 中央,#511:D-9; #511:D-7; #511:G-7; #523:h-12; #523:h-18; #523:g-12; #523:g-14; 中央:中央-12-5,unknown_resolved_server,needs_review,,
WbW,unknown,unknown,node_current:unknown,18,FALSE,FALSE,FALSE,#480; #511; 中央,#480:D-13; #480:D-7; #480:C-7; #480:b-14; #480:d-6; #480:d-8; #480:h-14; #480:i-14,unknown_resolved_server,needs_review,,
WoW3,unknown,unknown,node_current:unknown,7,FALSE,FALSE,FALSE,#440,#440:b-10; #440:A-5; #440:A-7; #440:B-7; #440:A-9; #440:B-9; #440:A-3,unknown_resolved_server,needs_review,,
YDR,unknown,unknown,node_current:unknown,3,FALSE,FALSE,FALSE,#503,#503:F-21; #503:H-21; #503:G-19,unknown_resolved_server,needs_review,,
aTA,unknown,unknown,node_current:unknown,4,FALSE,FALSE,FALSE,#440,#440:H-7; #440:H-5; #440:h-4; #440:I-5,unknown_resolved_server,needs_review,,
eXt,unknown,unknown,node_current:unknown,8,FALSE,FALSE,FALSE,#509,#509:D-1; #509:B-5; #509:E-1; #509:F-1; #509:f-4; #509:G-1; #509:g-2; #509:G-3,unknown_resolved_server,needs_review,,
f4j,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#534,#534:i-12; #534:K-11; #534:i-14; #534:I-15; #534:i-16; #534:I-17; #534:j-10; #534:J-11,unknown_resolved_server,needs_review,,
fIrE,unknown,unknown,node_current:unknown,16,FALSE,FALSE,FALSE,#476; #511; #523; 中央,#476:A-19; #511:E-7; #511:F-7; #511:c-2; #523:h-8; #523:i-10; #523:I-9; #523:g-8,unknown_resolved_server,needs_review,,
fzn,503,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; node_current:alliance_directory,38,FALSE,TRUE,FALSE,#503; #509; #534; 中央,#503:j-12; #503:j-10; #503:i-14; #503:j-14; #503:G-5; #503:g-14; #503:j-8; #503:G-3,enemy_in_534_area,needs_review,,
hMt,unknown,unknown,node_current:unknown,3,FALSE,FALSE,FALSE,#503,#503:K-17; #503:I-17; #503:J-17,unknown_resolved_server,needs_review,,
hOe,unknown,unknown,node_current:unknown,4,FALSE,FALSE,FALSE,#480; #503,#480:H-13; #480:I-13; #480:J-13; #503:A-13,unknown_resolved_server,needs_review,,
kOi,unknown,unknown,node_current:unknown,12,FALSE,FALSE,FALSE,#534,#534:f-2; #534:E-5; #534:d-2; #534:e-2; #534:E-3; #534:F-1; #534:F-3; #534:f-4,unknown_resolved_server,needs_review,,
moca,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#534,#534:K-1; #534:K-3,unknown_resolved_server,needs_review,,
noI,unknown,unknown,node_current:unknown,14,FALSE,FALSE,FALSE,#509; #534,#509:I-1; #509:J-1; #534:F-21; #534:g-18; #534:G-19; #534:G-21; #534:h-16; #534:h-18,unknown_resolved_server,needs_review,,
nv8,unknown,unknown,node_current:unknown,2,FALSE,FALSE,FALSE,#440; #511,#440:A-1; #511:B-21,unknown_resolved_server,needs_review,,
one,unknown,unknown,node_current:unknown,18,FALSE,FALSE,FALSE,#480; #503; #509; #511; 中央,#480:I-9; #480:H-9; #480:J-5; #480:J-9; #480:H-5; #503:b-12; #503:d-12; #503:e-2,unknown_resolved_server,needs_review,,
sbM,unknown,unknown,node_current:unknown,13,FALSE,FALSE,FALSE,#511,#511:C-11; #511:e-16; #511:G-15; #511:F-15; #511:E-17; #511:F-17; #511:G-19; #511:d-16,unknown_resolved_server,needs_review,,
sg3,unknown,unknown,node_current:unknown,5,FALSE,FALSE,FALSE,#534,#534:c-18; #534:d-18; #534:D-19; #534:E-15; #534:E-17,unknown_resolved_server,needs_review,,
u3o,unknown,unknown,node_current:unknown,13,FALSE,FALSE,FALSE,#511; #523; 中央,#511:B-7; #511:A-5; #511:B-3; #511:A-3; #523:f-4; #523:f-6; #523:E-17; #523:B-11,unknown_resolved_server,needs_review,,
w6F,unknown,unknown,node_current:unknown,6,FALSE,FALSE,FALSE,#534,#534:b-20; #534:B-21; #534:B-19; #534:A-15; #534:A-17; #534:B-17,unknown_resolved_server,needs_review,,
xjR,unknown,unknown,node_current:unknown,12,FALSE,FALSE,FALSE,#503; #509; 中央,#503:H-3; #503:i-12; #503:i-10; #503:I-11; #503:g-12; #509:H-21; #509:I-3; #509:J-15,unknown_resolved_server,needs_review,,
4tH,534,self,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_self_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_self_v2.csv:friendly_from_alliance; node_current:alliance_directory,48,TRUE,FALSE,TRUE,#534; 中央,#534:c-6; #534:g-10; #534:d-8; #534:F-9; #534:G-11; #534:G-9; #534:g-6; #534:B-5,,ok,,
BAJ,440,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_ally_v2.csv:friendly_from_alliance; node_current:alliance_directory,46,TRUE,FALSE,TRUE,#440; #480; #523; 中央,#440:H-3; #440:E-5; #440:D-5; #440:D-7; #440:F-7; #440:d-14; #440:d-12; #440:j-16,,ok,,
BgNa,480,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:enemy_from_alliance; edge:server_534_attack_edges_ally_v2.csv:enemy_to_alliance; node_current:alliance_directory,58,TRUE,TRUE,FALSE,#480; #511; 中央,#480:C-11; #480:e-8; #480:f-8; #480:a-18; #480:B-7; #480:G-17; #480:C-1; #480:d-14,,ok,,
GoDs,440,ally,alliance_directory:manual; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_ally_v2.csv:friendly_from_alliance; node_current:alliance_alias,30,TRUE,FALSE,TRUE,#440; #480; 中央,#440:d-6; #440:i-6; #440:E-7; #440:j-18; #440:E-11; #440:e-6; #440:f-6; #440:J-3,,ok,,
JDX,534,self,alliance_directory:manual; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_self_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_self_v2.csv:friendly_from_alliance; node_current:alliance_directory,36,TRUE,FALSE,TRUE,#534; 中央,#534:c-14; #534:a-4; #534:a-14; #534:F-15; #534:c-12; #534:b-18; #534:C-13; #534:f-14,,ok,,
SsQ,509,ally,alliance_directory:manual; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_ally_v2.csv:friendly_from_alliance; node_current:alliance_alias,58,TRUE,FALSE,TRUE,#440; #480; #509; #523; 中央,#440:E-9; #440:F-15; #440:F-17; #480:D-15; #480:E-15; #509:D-21; #509:F-13; #509:e-8,,ok,,
299,299,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,4,FALSE,TRUE,FALSE,#503; 中央,#503:D-15; 中央:中央-8-17,,ok,,
2N7,511,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; node_current:alliance_directory,46,FALSE,FALSE,TRUE,#511; #523; 中央,#511:C-9; #511:C-13; #511:c-10; #511:D-5; #511:E-5; #511:E-1; #511:d-8; #511:E-3,,ok,,
476H,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,58,FALSE,TRUE,FALSE,#476; 中央,#476:H-9; #476:J-5; #476:I-9; #476:J-11; #476:g-4; #476:F-3; #476:f-4; #476:J-19,,ok,,
476K,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,24,FALSE,TRUE,FALSE,#476; 中央,#476:c-2; #476:D-3; #476:I-13; #476:d-2; #476:J-3; #476:G-3; #476:G-1; #476:h-2,,ok,,
476M,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,34,FALSE,TRUE,FALSE,#476; #511; #523; 中央,#476:C-11; #476:a-10; #476:a-12; #476:c-6; #476:d-6; #511:J-7; #511:I-17; #511:I-21,,ok,,
476T,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,12,FALSE,TRUE,FALSE,#476; 中央,#476:b-6; #476:b-8; #476:A-3; 中央:中央-10-6; 中央:中央-10-4; 中央:中央-10-5,,ok,,
476Z,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,42,FALSE,TRUE,FALSE,#476; #509; #511; #523; 中央,#476:j-18; #476:b-20; #476:e-18; #476:F-19; #476:G-19; #476:H-19; #509:A-5; #509:A-9,,ok,,
476d,476,enemy,current_enemy_nodes_v2.csv; node_current:ownership_current,50,FALSE,TRUE,FALSE,#476; #480; #509; #511; 中央,#476:g-18; #476:F-15; #476:j-16; #476:f-16; #476:f-14; #476:e-14; #476:g-16; #476:h-14,,ok,,
89M,534,self,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; node_current:alliance_directory,40,FALSE,FALSE,TRUE,#476; #534; 中央,#476:I-1; #476:K-1; #534:f-20; #534:D-21; #534:H-13; #534:e-18; #534:E-19; #534:e-20,,ok,,
AAOA,480,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; node_current:alliance_directory,42,FALSE,TRUE,FALSE,#480; #503; #511; 中央,#480:b-20; #480:c-18; #480:C-17; #480:D-17; #480:e-18; #480:f-18; #480:J-15; #480:B-21,,ok,,
DaNG,511,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; node_current:alliance_directory,40,FALSE,FALSE,TRUE,#511; 中央,#511:J-13; #511:H-11; #511:I-11; #511:g-12; #511:g-14; #511:E-19; #511:K-13; #511:d-20,,ok,,
Digg,480,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; node_current:alliance_directory,36,FALSE,TRUE,FALSE,#480; #503; 中央,#480:G-5; #480:J-19; #480:K-17; #480:H-1; #480:f-4; #480:f-2; #480:J-21; #480:G-3,,ok,,
FHX,509,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_ally_v2.csv:friendly_from_alliance; node_current:alliance_directory,48,FALSE,FALSE,TRUE,#509; 中央,#509:E-11; #509:H-17; #509:d-14; #509:e-14; #509:E-13; #509:H-15; #509:g-14; #509:f-14,,ok,,
GOD,440,ally,alliance_directory:manual,0,FALSE,FALSE,FALSE,,,,ok,,
GX99,503,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; node_current:alliance_directory,46,FALSE,TRUE,FALSE,#480; #503; #509; 中央,#480:K-19; #480:K-7; #480:H-11; #503:G-7; #503:A-15; #503:g-10; #503:f-8; #503:h-2,,ok,,
God,440,ally,alliance_directory:manual,0,FALSE,FALSE,FALSE,,,,ok,,
KTVS,534,self,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; node_current:alliance_directory,46,FALSE,FALSE,TRUE,#480; #509; #534; 中央,#480:a-20; #509:A-17; #509:B-9; #534:A-3; #534:g-16; #534:a-6; #534:G-15; #534:g-12,,ok,,
SQ,509,ally,alliance_directory:manual,0,FALSE,FALSE,FALSE,,,,ok,,
SVa,511,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; node_current:alliance_directory,38,FALSE,FALSE,TRUE,#511; 中央,#511:h-16; #511:H-15; #511:K-21; #511:G-17; #511:f-14; #511:F-19; #511:e-18; #511:f-18,,ok,,
Sq,509,ally,alliance_directory:manual,0,FALSE,FALSE,FALSE,,,,ok,,
TkTk,480,enemy,alliance_directory:manual_sample; current_enemy_nodes_v2.csv; node_current:alliance_directory,38,FALSE,TRUE,FALSE,#480; #503; 中央,#480:F-15; #480:e-6; #480:f-6; #480:I-7; #480:F-5; #480:g-14; #480:g-6; #480:J-7,,ok,,
VEX,509,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; edge:enemy_invasion_edges_ally_defense_v2.csv:friendly_to_alliance; edge:server_534_attack_edges_ally_v2.csv:friendly_from_alliance; node_current:alliance_directory,42,FALSE,FALSE,TRUE,#509; 中央,#509:d-8; #509:c-12; #509:b-10; #509:A-3; #509:b-12; #509:b-6; #509:b-8; #509:c-8,,ok,,
tWD,509,ally,alliance_directory:manual_sample; current_friendly_nodes_v2.csv; node_current:alliance_directory,42,FALSE,FALSE,TRUE,#509,#509:d-4; #509:E-3; #509:F-5; #509:c-4; #509:D-3; #509:E-5; #509:f-8; #509:B-7,,ok,,
