reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,kind_sheet,existing_type,event_type
existing_newer,#8061,974,324,1927,2026/06/21 8:28,2026/06/08 17:22:00,TkTk,MtG,IMG_2095.PNG,"連盟MtGがLV.5漁場 #8061(X:974,Y:324)を 占領",,,
type_mismatch,#480,978,978,539,,2026/06/08 20:53:00,COZy,one,IMG_2097.PNG,"連盟oneがLV.1漁場 #480(X:978,Y:978)を占 領",,都市,漁場
existing_newer,#8061,124,374,1940,2026/06/21 0:07,2026/06/08 21:25:00,R6q,fIrE,IMG_2098.PNG,"連盟fIrEがLV.7漁場 #8061(X:124,Y:374)を 占領",,,
existing_newer,#523,599,699,1499,2026/06/14 7:55,2026/06/08 23:06:00,FHX,476X,IMG_2099.PNG,"連盟476XがLV.3漁場 #523(X:599,Y:699)を 占領",,,
existing_newer,#8061,924,874,1958,2026/06/12 5:15,2026/06/08 23:12:00,OWM,KTVS,IMG_2100.PNG,"連盟KTVSがLV.6漁場 #8061(X:924,Y:874)を 占領",,,
existing_newer,#523,499,699,1498,2026/06/14 0:50,2026/06/08 23:12:00,WUG,476X,IMG_2100.PNG,"連盟476XがLV.3漁場 #523(X:499,Y:699)を 占領",,,
low_confidence_no_material_change,#8061,74,574,2167,2026/06/01 16:47,2026/06/09 01:43:00,ALj,ALj,IMG_2103.PNG,"連盟ALjがLV.6漁場 #8061(X:74,Y:574)を占 領",,,
existing_newer,#509,99,399,917,2026/06/12 19:39,2026/06/09 03:06:00,BHE,tWD,IMG_2104.PNG,"連盟tWDがLV.1漁場 #509(X:99,Y:399)を占 領",,,
existing_newer,#480,399,299,589,2026/06/14 7:17,2026/06/09 05:14:00,WbW,89M,IMG_2106.PNG,"連盟89MがLV.3漁場 #480(X:399,Y:299)を占 領",,,
row_not_found,#8061,24,674,,,2026/06/09 14:56:00,,476d,IMG_2108.PNG,"連盟476dがLV.5漁場 #8061(X:24,Y:674)を 占領",漁場,,
existing_newer,#523,399,899,1540,2026/06/21 10:46,2026/06/09 16:42:00,476A,fIrE,IMG_2109.PNG,"連盟fIrEがLV.1漁場 #523(X:399,Y:899)を占 領",,,
row_not_found,#8061,124,474,,,2026/06/09 17:15:00,,fIrE,IMG_2110.PNG,"連盟fIrEがLV.7漁場 #8061(X:124,Y:474)を 占領",漁場,,
low_confidence_no_material_change,#534,499,978,1590,2026/05/22 20:46,2026/06/09 19:14:00,f4j,f4j,IMG_2111.PNG,"連盟f4jがLV.1漁場 #534(X:499,Y:978)を占 領",,,
existing_newer,#523,399,699,1510,2026/06/14 11:44,2026/06/10 01:40:00,476X,476X,IMG_2115.PNG,"連盟476XがLV.3漁場 #523(X:399,Y:699)を 占領",,,
existing_newer,#523,399,799,1389,2026/06/20 23:19,2026/06/10 02:17:00,JDX,476X,IMG_2116.PNG,"連盟476XがLV.2漁場 #523(X:399,Y:799)を 占領",,,
existing_newer,#523,199,799,1521,2026/06/17 23:15,2026/06/10 03:04:00,JDX,u3o,IMG_2117.PNG,"連盟u30がLV.2漁場 #523(X:199,Y:799)を占 領",,,
existing_newer,#523,199,699,1507,2026/06/17 23:04,2026/06/10 03:04:00,KTVS,5DU,IMG_2117.PNG,"連盟5DUがLV.2漁場 #523(X:199,Y:699)を占 領",,,
existing_newer,#523,499,199,1429,2026/06/20 15:09,2026/06/10 15:07:00,WUG,2N7,IMG_2122.PNG,"連盟2N7は連盟K4TRのLV.2漁場 #523(X:499,Y:199)を奪い",,,
existing_newer,#480,299,599,447,2026/06/14 7:08,2026/06/10 15:07:00,BgNa,GcC,IMG_2122.PNG,"連盟GCCは連盟RCONのLV.3漁場 #480(X:299,Y:599)を奪い",,,
existing_newer,#480,299,799,490,2026/06/21 10:52,2026/06/10 15:12:00,Stj,MOn,IMG_2123.PNG,"連盟MOnは連盟RCONのLV.2漁場 #480(X:299,Y:799)を奪い",,,
existing_newer,#480,349,649,527,2026/06/17 23:01,2026/06/10 15:12:00,RCON,Bye,IMG_2123.PNG,"連盟ByeがLV.3湿地の集会場 #480(X:349,Y:649)を占領",,,
existing_newer,#523,699,699,1501,2026/06/13 23:13,2026/06/10 15:12:00,FHX,ALj,IMG_2123.PNG,"連盟ALjがLV.3漁場 #523(X:699,Y:699)を占 領",,,
existing_newer,#523,699,799,1515,2026/06/20 23:12,2026/06/10 15:12:00,Lghs,ALj,IMG_2123.PNG,"連盟ALjがLV.2漁場 #523(X:699,Y:799)を占 領",,,
existing_newer,#523,399,199,1372,2026/06/17 23:56,2026/06/10 15:19:00,5DU,GoDs,IMG_2125.PNG,"連盟GoDsがLV.2漁場 #523(X:399,Y:199)を 占領",,,
existing_newer,#523,299,199,1377,2026/06/13 23:48,2026/06/10 15:19:00,TrX,2N7,IMG_2125.PNG,"連盟2N7がLV.2漁場 #523(X:299,Y:199)を占 領",,,
existing_newer,#523,199,199,1330,2026/06/13 23:18,2026/06/10 15:36:00,TrX,GoDs,IMG_8238.PNG,"連盟GoDsがLV.2漁場 #523(X:199,Y:199)を 占領",,,
existing_newer,#480,99,599,492,2026/06/10 16:29,2026/06/10 16:23:00,H69,H69,IMG_8238.PNG,"連盟H69がLV.1漁場 #480(X:99,Y:599)を占 領",,,
low_confidence_no_material_change,#523,649,149,1416,2026/06/10 22:51,2026/06/10 18:14:00,K4TR,K4TR,IMG_8240.PNG,"連盟K4TRがLV.1湿地の村 #523(X:649,Y:149)を占領",,,
low_confidence_no_material_change,#8061,124,874,1978,2026/06/10 23:08,2026/06/10 23:08:00,476K,476K,IMG_8242.PNG,"連盟476Kは連盟SHAのLV.7漁場 #8061(X:124,Y:874)を奪い",,,
existing_newer,#440,199,599,37,2026/06/18 13:04,2026/06/10 23:08:00,476B,WbW,IMG_8241.PNG,"連盟WbWは連盟TrXのLV.2漁場 #440(X:199,Y:599)を奪い",,,
existing_newer,#480,799,99,536,2026/06/14 7:17,2026/06/10 23:08:00,CDf8,4tH,IMG_8241.PNG,"連盟4tHがLV.1漁場 #480(X:799,Y:99)を占領",,,
low_confidence_no_material_change,#440,299,399,42,2026/06/10 23:08,2026/06/10 23:08:00,476X,476X,IMG_8242.PNG,"連盟476Xは連盟n09のLV.3漁場 #440(X:299,Y:399)を奪い",,,
existing_newer,#480,399,699,452,2026/06/20 15:07,2026/06/10 23:08:00,RCON,GcC,IMG_8242.PNG,"連盟GCCは連盟oneのLV.3漁場 #480(X:399,Y:699)を奪い",,,
existing_newer,#534,149,149,1635,2026/06/17 20:24,2026/06/10 23:08:00,破壊,SKh,IMG_8242.PNG,"連盟SKhがLV.1密林の村 #534(X:149,Y:149) を占領",,,
low_confidence_no_material_change,#440,20,99,103,2026/06/10 23:08,2026/06/10 23:08:00,K4TR,K4TR,IMG_8242.PNG,"連盟K4TRは連盟nv8のLV.1漁場 #440(X:20,Y:99)を奪い",,,
type_mismatch,#534,978,599,1702,,2026/06/10 23:08:00,破壊,fzn,IMG_8243.PNG,"連盟fznは連盟nolのLV.1漁場 #534(X:978,Y:599)を奪い",,都市,漁場
existing_newer,#523,399,499,1483,2026/06/17 23:04,2026/06/10 23:13:00,476C,SsQ,IMG_8243.PNG,"連盟SSQは連盟u30のLV.4漁場 #523(X:399,Y:499)を奪い",,,
existing_newer,#440,299,599,175,2026/06/18 12:07,2026/06/10 23:13:00,476A,BgNa,IMG_8243.PNG,"連盟BgNaがLV.3漁場 #440(X:299,Y:599)を 占領",,,
existing_newer,#511,20,699,1177,2026/06/14 16:21,2026/06/10 23:13:00,ALj,JL0,IMG_8243.PNG,"連盟LOは連盟ALjのLV.1漁場 #511(X:20,Y:699)を奪い",,,
existing_newer,#440,899,978,218,2026/06/18 14:45,2026/06/10 23:18:00,UMN,COZy,IMG_8245.PNG,"連盟COZyがLV.1漁場 #440(X:899,Y:978)を 占領",,,
existing_newer,#523,799,699,1503,2026/06/18 7:43,2026/06/10 23:18:00,476A,FHX,IMG_8245.PNG,"連盟FHXは連盟ALjのLV.2漁場 #523(X:799,Y:699)を奪い",,,
existing_newer,#534,299,599,1556,2026/06/18 1:10,2026/06/10 23:18:00,kOi,476C,IMG_8245 (1).PNG,"連盟476Cは連盟RGWCのLV.3漁場 #534(X:299,Y:599)を奪い",,,
existing_newer,#503,599,20,676,2026/06/20 1:17,2026/06/10 23:18:00,476A,one,IMG_8245 (1).PNG,"連盟oneは連盟hOeのLV.1漁場 #503(X:599,Y:20)を奪い",,,
existing_newer,#534,899,599,1700,2026/06/18 10:55,2026/06/10 23:18:00,one,xjR,IMG_8245 (1).PNG,"連盟xjRは連盟noIのLV.1漁場 #534(X:899,Y:599)を奪い",,,
existing_newer,#440,99,99,113,2026/06/20 7:18,2026/06/10 23:24:00,WoW3,EDFS,IMG_8246.PNG,"連盟EDFSは連盟nv8のLV.1漁場 #440(X:99,Y:99)を奪い",,,
existing_newer,#523,799,799,1376,2026/06/18 7:27,2026/06/10 23:24:00,476B,BAJ,IMG_8247.PNG,"連盟BAがLV.2漁場 #523(X:799,Y:799)を占 領",,,
existing_newer,#523,799,899,1373,2026/06/18 7:16,2026/06/10 23:30:00,476A,BAJ,IMG_8248.PNG,"連盟BAは連盟476ZのLV.1漁場 #523(X:799,Y:899)を奪い",,,
existing_newer,#511,799,799,1203,2026/06/17 13:50,2026/06/10 23:36:00,AAOA,AAOA,IMG_8249.PNG,"連盟AAOAは連盟SVaのLV.2漁場 #511(X:799,Y:799)を奪い",,,
low_confidence_no_material_change,#8061,874,824,2047,2026/06/11 0:01,2026/06/10 23:53:00,OWM,OWM,IMG_8251.PNG,"連盟OWMがLV.7漁場 #8061(X:874,Y:824) を占領",,,
existing_newer,#523,149,749,1506,2026/06/17 4:16,2026/06/10 23:53:00,破壊,u3o,IMG_8251.PNG,"連盟u30がLV.1湿地の村 #523(X:149,Y:749) を占領",,,
existing_newer,#534,699,499,1617,2026/06/11 0:14,2026/06/10 23:53:00,Sq3,Sg3,IMG_8252.PNG,"連盟Sg3がLV.3漁場 #534(X:699,Y:499)を占 領",,,
low_confidence_no_material_change,#8061,574,924,2042,2026/06/11 0:14,2026/06/10 23:53:00,tWD,tWD,IMG_8252.PNG,"連盟tWDがLV.6漁場 #8061(X:574,Y:924)を 占領",,,
low_confidence_no_material_change,#8061,574,874,2037,2026/06/11 0:17,2026/06/10 23:53:00,tWD,tWD,IMG_8252.PNG,"連盟tWDがLV.7漁場 #8061(X:574,Y:874)を 占領",,,
existing_newer,#440,599,99,105,2026/06/17 15:14,2026/06/11 00:17:00,5DU,DOLU,IMG_8252.PNG,"連盟DOLUがLV.1漁場 #440(X:599,Y:99)を 占領",,,
low_confidence_no_material_change,#509,20,199,965,2026/06/11 0:29,2026/06/11 00:17:00,eXt,eXt,IMG_8253.PNG,"連盟eXtがLV.1漁場 #509(X:20,Y:199)を占領",,,
existing_newer,#509,799,799,911,2026/06/14 21:20,2026/06/11 00:17:00,TIKW,BHE,IMG_8253.PNG,"連盟BHEがLV.2漁場 #509(X:799,Y:799)を占 領",,,
existing_newer,#8061,74,674,2150,2026/06/11 0:36,2026/06/11 00:17:00,KfK,Kfk,IMG_8253.PNG,"連盟KfkがLV.6漁場 #8061(X:74,Y:674)を占 領",,,
low_confidence_no_material_change,#480,399,20,554,2026/06/11 0:36,2026/06/11 00:17:00,TrX,TrX,IMG_8254.PNG,"連盟TrXがLV.1漁場 #480(X:399,Y:20)を占領",,,
low_confidence_no_material_change,#511,599,299,1136,2026/06/11 1:14,2026/06/11 01:23:00,fIrE,fIrE,IMG_8255.PNG,"連盟fIrEがLV.3漁場 #511(X:599,Y:299)を占 領",,,
existing_newer,#523,299,799,1523,2026/06/20 23:07,2026/06/11 01:23:00,KTVS,u3o,IMG_8255.PNG,"連盟u30がLV.2漁場 #523(X:299,Y:799)を占 領",,,
low_confidence_no_material_change,#523,99,499,1480,2026/06/11 3:57,2026/06/11 01:23:00,u3o,u3o,IMG_8256.PNG,"連盟u30がLV.1漁場 #523(X:99,Y:499)を占 領",,,
existing_newer,#440,849,449,145,2026/06/20 12:46,2026/06/11 03:57:00,破壊,TrX,IMG_8256.PNG,"連盟TrXがLV.1密林の村 #440(X:849,Y:449) を占領",,,
existing_newer,#523,599,978,1542,2026/06/18 0:54,2026/06/11 04:28:00,ALj,NBNH,IMG_8256.PNG,"連盟NBNHがLV.1漁場 #523(X:599,Y:978)を 占領",,,
existing_newer,#509,699,20,987,2026/06/11 4:38,2026/06/11 04:28:00,OWM,OWM,IMG_8256.PNG,"連盟OWMがLV.1漁場#509(X:699,Y:20)を占 領",,,
existing_newer,#476,599,20,303,2026/06/20 23:59,2026/06/11 04:28:00,ALj,NBNH,IMG_8256.PNG,"連盟NBNHがLV.1漁場 #476(X:599,Y:20)を 占領",,,
low_confidence_no_material_change,#523,149,649,1492,2026/06/11 6:45,2026/06/11 04:47:00,5DU,5DU,IMG_8257.PNG,"連盟5DUがLV.1湿地の村 #523(X:149,Y:649) を占領",,,
existing_newer,#523,649,49,1402,2026/06/17 20:05,2026/06/11 04:47:00,破壊,EDFS,IMG_8257.PNG,"連盟EDFSがLV.1湿地の村#523(X:649,Y:49) を占領",,,
existing_newer,#523,99,599,1491,2026/06/13 23:07,2026/06/11 07:04:00,JDX,5DU,IMG_8257.PNG,"連盟5DUがLV.1漁場 #523(X:99,Y:599)を占 領",,,
existing_newer,#523,978,699,1505,2026/06/20 1:16,2026/06/11 07:10:00,ALj,JL0,IMG_8259.PNG,"連盟JLOは連盟ALjのLV.1漁場 #523(X:978,Y:699)を奪い",,,
existing_newer,#440,99,699,4,2026/06/20 1:36,2026/06/11 07:10:00,Lghs,BgNa,IMG_8258.PNG,"連盟BgNaは連盟TrXのLV.1漁場 #440(X:99,Y:699)を奪い",,,
existing_newer,#523,49,549,1478,2026/06/20 12:20,2026/06/11 07:10:00,破壊,5DU,IMG_8259.PNG,"連盟5DUがLV.1湿地の村 #523(X:49,Y:549) を占領",,,
low_confidence_no_material_change,#503,899,599,720,2026/06/11 7:31,2026/06/11 07:31:00,hMt,hMt,IMG_8260.PNG,"連盟hMtは連盟YDRのLV.1漁場 #503(X:899,Y:599)を奪い",,,
existing_newer,#440,199,20,6,2026/06/11 7:35,2026/06/11 07:31:00,EDFS,EDFS,IMG_8260.PNG,"連盟EDFSは連盟WoW3のLV.1漁場 #440(X:199,Y:20)を奪い",,,
low_confidence_no_material_change,#440,599,399,143,2026/06/11 7:35,2026/06/11 07:35:00,476B,476B,IMG_8261.PNG,"連盟476BがLV.4漁場 #440(X:599,Y:399)を 占領",,,
existing_newer,#509,99,299,953,2026/06/13 23:18,2026/06/11 07:35:00,GX99,SHA,IMG_8260.PNG,"連盟SHAがLV.1漁場 #509(X:99,Y:299)を占 領",,,
low_confidence_no_material_change,#8061,824,74,1950,2026/06/11 7:46,2026/06/11 07:35:00,Digg,Digg,IMG_8261.PNG,"連盟DiggがLV.6漁場 #8061(X:824,Y:74)を 占領",,,
existing_newer,#511,399,399,1273,2026/06/11 7:48,2026/06/11 07:46:00,SHA,SHA,IMG_8261.PNG,"連盟SHAは連盟NBNHのLV.4漁場 #511(X:399,Y:399)を奪い",,,
existing_newer,#480,599,699,509,2026/06/17 23:04,2026/06/11 07:48:00,BgNa,TkTk,IMG_8261.PNG,"連盟TkTkは連盟hOeのLV.3漁場 #480(X:599,Y:699)を奪い",,,
existing_newer,#480,599,899,533,2026/06/14 0:58,2026/06/11 07:48:00,MtG,WbW,IMG_8262.PNG,"連盟WbWは連盟hOeのLV.1漁場 #480(X:599,Y:899)を奪い",,,
low_confidence_no_material_change,#8061,774,24,1994,2026/06/11 8:30,2026/06/11 07:48:00,Digg,Digg,IMG_8262.PNG,"連盟DiggがLV.5漁場 #8061(X:774,Y:24)を 占領",,,
low_confidence_no_material_change,#511,20,599,1285,2026/06/11 9:26,2026/06/11 08:44:00,JL2,JL2,IMG_8263.PNG,"連盟L2がLV.1漁場 #511(X:20,Y:599)を占領",,,
existing_newer,#8061,874,324,1928,2026/06/11 9:47,2026/06/11 09:26:00,MtG,MtG,IMG_8263.PNG,"連盟MtGがLV.7漁場 #8061(X:874,Y:324)を 占領",,,
low_confidence_no_material_change,#523,199,99,1425,2026/06/11 11:08,2026/06/11 09:47:00,2N7,2N7,IMG_8264.PNG,"連盟2N7がLV.1漁場 #523(X:199,Y:99)を占 領",,,
low_confidence_no_material_change,#523,299,99,1426,2026/06/11 11:08,2026/06/11 09:47:00,2N7,2N7,IMG_8264.PNG,"連盟2N7がLV.1漁場 #523(X:299,Y:99)を占 領",,,
low_confidence_no_material_change,#509,499,399,895,2026/06/11 11:18,2026/06/11 09:47:00,xjR,xjR,IMG_8264.PNG,"連盟xjRがLV.4漁場 #509(X:499,Y:399)を占 領",,,
existing_newer,#523,899,799,1340,2026/06/14 3:22,2026/06/11 09:47:00,ALj,BAJ,IMG_8264.PNG,"連盟BAがLV.1漁場 #523(X:899,Y:799)を占 領",,,
existing_newer,#480,699,199,457,2026/06/19 16:42,2026/06/11 09:47:00,CDf8,AAOA,IMG_8264.PNG,"連盟AAOAがLV.2漁場 #480(X:699,Y:199)を 占領",,,
existing_newer,#440,599,499,63,2026/06/21 10:57,2026/06/11 11:24:00,476B,Lghs,IMG_8265.PNG,"連盟LghsがLV.4漁場 #440(X:599,Y:499)を 占領",,,
low_confidence_no_material_change,#480,499,599,612,2026/06/11 11:24,2026/06/11 11:24:00,GX99,GX99,IMG_8265.PNG,"連盟GX99がLV.4漁場 #480(X:499,Y:599)を 占領",,,
low_confidence_no_material_change,#511,899,799,1204,2026/06/11 11:48,2026/06/11 11:24:00,AAOA,AAOA,IMG_8265.PNG,"連盟AAOAがLV.1漁場 #511(X:899,Y:799)を 占領",,,
low_confidence_no_material_change,#8061,924,224,1946,2026/06/11 14:17,2026/06/11 12:14:00,MtG,MtG,IMG_8267.PNG,"連盟MtGがLV.6漁場 #8061(X:924,Y:224)を 占領",,,
low_confidence_no_material_change,#503,699,99,671,2026/06/11 13:18,2026/06/11 12:14:00,TkTk,TkTk,IMG_8266.PNG,"連盟TKTKがLV.1漁場 #503(X:699,Y:99)を占 領",,,
existing_newer,#503,699,20,679,2026/06/20 1:48,2026/06/11 12:14:00,Lghs,TkTk,IMG_8266.PNG,"連盟TKTKがLV.1漁場 #503(X:699,Y:20)を占 領",,,
low_confidence_no_material_change,#8061,874,374,2020,2026/06/11 14:06,2026/06/11 12:14:00,MtG,MtG,IMG_8267.PNG,"連盟MtGがLV.7漁場 #8061(X:874,Y:374)を 占領",,,
existing_newer,#476,699,20,305,2026/06/11 15:09,2026/06/11 14:52:00,476X,476X,IMG_8267.PNG,"連盟476XがLV.1漁場 #476(X:699,Y:20)を占 領",,,
existing_newer,#8061,874,624,2038,2026/06/11 17:39,2026/06/11 17:20:00,FHX,FHX,IMG_8268.PNG,"連盟FHXがLV.7漁場 #8061(X:874,Y:624)を 占領",,,
low_confidence_no_material_change,#523,399,99,1371,2026/06/11 17:55,2026/06/11 17:20:00,K4TR,K4TR,IMG_8269.PNG,"連盟K4TRがLV.1漁場 #523(X:399,Y:99)を占 領",,,
low_confidence_no_material_change,#503,20,299,791,2026/06/11 17:55,2026/06/11 17:20:00,GX99,GX99,IMG_8269.PNG,"連盟GX99がLV.1漁場 #503(X:20,Y:299)を占 領",,,
low_confidence_no_material_change,#8061,524,924,2135,2026/06/11 19:09,2026/06/11 19:09:00,tWD,tWD,IMG_8270.PNG,"連盟tWDがLV.6漁場 #8061(X:524,Y:924)を 占領",,,
low_confidence_no_material_change,#523,199,399,1465,2026/06/11 19:19,2026/06/11 19:09:00,SsQ,SsQ,IMG_8270.PNG,"連盟SSQがLV.2漁場 #523(X:199,Y:399)を占 領",,,
existing_newer,#509,499,699,1063,2026/06/16 16:39,2026/06/11 19:09:00,f4j,FHX,IMG_8271.PNG,"連盟FHXがLV.3漁場 #509(X:499,Y:699)を占 領",,,
low_confidence_no_material_change,#8061,474,924,2134,2026/06/11 19:32,2026/06/11 19:09:00,tWD,tWD,IMG_8271.PNG,"連盟tWDがLV.6漁場 #8061(X:474,Y:924)を 占領",,,
existing_newer,#523,199,599,1493,2026/06/13 23:13,2026/06/11 19:09:00,MOn,JDX,IMG_8271.PNG,"連盟DXがLV.2漁場 #523(X:199,Y:599)を占 領",,,
existing_newer,#476,199,199,343,2026/06/11 21:17,2026/06/11 21:09:00,476T,476T,IMG_8271.PNG,"連盟476TがLV.2漁場 #476(X:199,Y:199)を 占領",,,
existing_newer,#480,899,699,630,2026/06/19 4:56,2026/06/11 21:17:00,fzn,one,IMG_8272.PNG,"連盟oneがLV.1漁場 #480(X:899,Y:699)を占 領",,,
low_confidence_no_material_change,#480,899,799,643,2026/06/19 6:53,2026/06/11 21:17:00,one,one,IMG_8273.PNG,"連盟oneがLV.1漁場 #480(X:899,Y:799)を占 領",,,
existing_newer,#523,499,799,1511,2026/06/16 3:24,2026/06/11 22:35:00,476B,476X,IMG_8274.PNG,"連盟476XがLV.2漁場 #523(X:499,Y:799)を 占領",,,
existing_newer,#480,299,699,453,2026/06/14 7:10,2026/06/12 00:42:41,RCON,89M,IMG_8238.PNG,"連盟89Mは連盟TIKWのLV.3漁場 #480(X:299,Y:699)を奪い",,,
