target_server,coord,x,y,event_time,frame,source_text
#440,b-12,549,149,2026-6-1704:03:59,frame_0302,"#523[5DU」が#440領有中のLV.1都市#440(549,149)を T盤1.体堂のために破壷定箱めつな隣ち取りました 確定 全て受取 破壊履歴"
#440,b-14,649,149,2026-6-1704:07:41,frame_0305,"#523[WUG]が#440領有中のLV.1都市#440(649,149)を 攻撃し、陣営のために破壊宝箱xをち取りました"
#440,b-16,749,149,2026-6-1700:02:04,frame_0300,"#523[NBNH]が#440領有中のL.1都市#440(749,149)を 竹盤1.店堂のために破博定箱とつをち取りました 碓定 全て受取 三！ 破壊履歴"
#440,b-18,849,149,2026-6-1312:37:56,frame_0288,"#503[fzn」が#440[DOLU]領有中のLV.1都市 #440(849,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,b-20,949,149,2026-6-1312:36:00,frame_0285,"#503[f2n]が#440[DOLU]領有中のLV.1都市 #440(949,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 目 破壊履歴"
#440,c-2,49,249,2026-6-312:45:50,frame_0167,"#4761476M]が#440領有中のLV.1都市#440(49,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,c-4,149,249,2026-6-612:24:04,frame_0202,"#476[476M1が#440領有中のLV.1都市#440(149,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,c-6,249,249,2026-6-1012:20:59,frame_0237,"#476[476M]が#440[IMp]領有中のL.2都市 #440(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,c-8,349,249,2026-6-1012:40:58,frame_0241,"#476[4762】が#440領有中のLV.2都市#440(349,249)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#440,c-10,449,249,2026-6-2020:21:34,frame_0364,"#476[4768]が#440[Gcc]領有中のLv.z都市 #440(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#440,c-12,549,249,2026-6-1720:09:24,frame_0328,"#476[476が#440[TrX]領有中のLV.2都市 #440(549,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,c-16,749,249,2026-6-1320:58:33,frame_0299,"#503[5tjが#440領有中のLV.2都市#440(749,249)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#440,c-18,849,249,2026-6-1312:36:51,frame_0287,"#503[COZy]が#440領有中のLV.1都市#440(849,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,c-20,949,249,2026-6-1312:29:23,frame_0281,"#503[CO2g]が#440領有中のLV.1都市#440(949,249)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,d-2,49,349,2026-6-312:49:56,frame_0172,"#476[476M]が#440[IMp]領有中のLV.1都市 #440(49,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,d-4,149,349,2026-6-2012:24:37,frame_0349,"#476[476X]が#509[5S0]領有中のLV.1都市 #440(149,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,d-6,249,349,2026-6-612:29:36,frame_0203,"#503[Lghs]が#440[GoDs]領有中のLV.2都市 #440(249,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,d-8,349,349,2026-6-1320:13:14,frame_0291,"#476[476X]が#440[Gcc]領有中のLV.3都市 #440(349,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,d-10,449,349,2026-6-1312:51:15,frame_0292,"#476[476B】が#440[Gcc]領有中のLV.3都市 #440(449,349)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
#440,d-12,549,349,2026-6-1012:22:24,frame_0237,"#476[476B]が#440[BAJ]領有中のLV.3都市 #440(549,349)を攻撃し、陣営のために破壊宝額x10を 勝ち取りました"
#440,d-14,649,349,2026-6-1312:05:54,frame_0273,"#476[476]が#440[BA」]領有中のL.3都市 #440(649,349)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
#440,d-16,749,349,2026-6-1712:01:58,frame_0313,"#503[TIKW」が#440[TaW]領有中のLv.2都市 #440(749,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,d-18,849,349,2026-6-1320:46:00,frame_0298,"#503[hMt]が#440領有中のLV.1都市#440(849,349)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 目 破壊履歴"
#440,d-20,949,349,2026-6-2012:30:23,frame_0350,"#503[fzn]が#440[GoDs]領有中のLV.1都市 #440(949,349)を攻撃し、陣営のために破壊宝額xを勝 碓定 全て受取 三！ 破壊履歴"
#440,e-2,49,449,2026-6-612:34:05,frame_0203,"#476[476M]が#440[IMp】領有中のLV.1都市 #440(49,449)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,e-4,149,449,2026-5-3012:42:58,frame_0113,"#476[476X]が#440[IMp]領有中のL.1都市 #440(149,449)を攻撃し、陣営のために破壊宝箱xを勝 確定 全て受取 目 破壊履歴"
#440,e-6,249,449,2026-6-320:55:37,frame_0181,"#503[Lghs」が#440[GoDs]領有中のL.2都市 #440(249,449)を攻撃し、陣営のために破壊宝箱x5を勝 土印内キ1た 碓定 全て受取 三！ 破壊履歴"
#440,e-8,349,449,2026-6-1012:13:00,frame_0228,"#476[476]が#440[BA」]領有中のLv.3都市 #440(349,449)を攻撃し、陣営のために破壊宝箱x10を ち取りました 碓定 全て受取 目 破壊履歴"
#440,e-14,649,449,2026-6-1012:27:00,frame_0240,"#476[476A]が#440[Gcc]領有中のLV.3都市 #440(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,e-16,749,449,2026-6-1012:55:29,frame_0246,"#503[5tj]が#440[TaW」領有中のLv.2都市#440(749,449)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました"
#440,e-18,849,449,2026-6-2012:44:22,frame_0353,"#503[5tjlが#440[TrX]領有中のLv.1都市#440(849,449)を 攻撃し、陣営のために破壊宝箱xをち取りました"
#440,e-20,949,449,2026-6-1020:09:38,frame_0254,"#503[fzn]が#440[TrX]領有中のL.1都市#440(949,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,f-2,49,549,2026-5-3012:43:58,frame_0115,"#476[476M]が#440領有中のLV.1都市#440(49,549)を 確定 全て受取 目 破壊履歴"
#440,f-4,149,549,2026-5-3012:43:32,frame_0114,"#476[476M]が#440[IMp]領有中のLV.1都市 #440(149,549)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#440,f-6,249,549,2026-6-1304:02:25,frame_0258,"#503[Lghs」が#440[GoDs]領有中のLv.2都市 #440(249,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,f-8,349,549,2026-6-1312:01:59,frame_0269,"#476[476A」が#440[BA」]領有中のLV.3都市 #440(349,549)を攻撃し、陣営のために破壊宝箱*10を 勝ち取りました"
#440,f-12,549,549,2026-6-1012:14:37,frame_0234,"#503[Lghs」が#440[BA」領有中のLV.3都市 #440(549,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,f-14,649,549,2026-6-1012:08:21,frame_0227,"#476[476A]が#440[Gcc]領有中のLV.3都市 #440(649,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 目 破壊履歴"
#440,f-16,749,549,2026-6-1312:01:12,frame_0266,"#503[Lghs」が#440[TaW」領有中のLv.z都市 #440(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,f-18,849,549,2026-6-1712:02:53,frame_0315,"#503[299]が#440[TrX]領有中のLV.1都市#440(849,549)を 確定 全て受取 破壊履歴"
#440,f-20,949,549,2026-6-612:41:30,frame_0205,"#503[fzn]が#440[TrX]領有中のLV.1都市#440(949,549)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,g-2,49,649,2026-6-1312:04:56,frame_0271,"#480[AADA】が#440[IMp】領有中のLV.1都市 #440(49,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,g-4,149,649,2026-6-1312:31:45,frame_0284,"#480[BgNa】が#440[IMp]領有中のLV.1都市 #440(149,649)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#440,g-6,249,649,2026-6-1304:03:04,frame_0258,"#480[BgNa】が#440[GoDs】領有中のL.2都市 #440(249,649)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 目 破壊履歴"
#440,g-8,349,649,2026-6-1320:15:06,frame_0292,"#476[476A]が#440[Gcc]領有中のLV.3都市 #440(349,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,g-10,449,649,2026-6-1704:13:42,frame_0308,"#476[476A]が#440[Gcc]領有中のLV.3都市 #440(449,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,g-12,549,649,2026-6-1012:14:37,frame_0233,"#503[Lghs」が#440[BA』】領有中のL.3都市 #440(549,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,g-14,649,649,2026-6-620:05:36,frame_0208,"#476[476A」が#440[BA」領有中のLV.3都市 #440(649,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#440,g-16,749,649,2026-6-1712:04:18,frame_0317,"#503[Lghs]が#440[TaW」領有中のLV.2都市 #440(749,649)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,g-18,849,649,2026-6-1012:33:15,frame_0240,"#503[299]が#440[TrX]領有中のLV.1都市#440(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,g-20,949,649,2026-6-620:02:53,frame_0206,"#503[299]が#440[TrX]領有中のLV.1都市#440(949,649)を 確定 全て受取 破壊履歴"
#440,h-2,49,749,2026-6-1304:21:55,frame_0262,"#480[AAOA」が#440[GoDS]領有中のLV.1都市 #440(49,749)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,h-4,149,749,2026-6-1304:17:11,frame_0262,"#480[RCON」が#440aTA】領有中のLV.1都市 #440(149,749)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,h-6,249,749,2026-6-1712:10:39,frame_0321,"#480[WbW」が#440[GoDs]領有中のL.2都市 #440(249,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,h-8,349,749,2026-6-1000:01:57,frame_0212,"#480[CDf8」が#440領有中のL.2都市#440(349,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 碓定 全て受取 破壊履歴"
#440,h-10,449,749,2026-6-1312:13:37,frame_0274,"#503[TIKW」が#440[Gcc領有中のLv.2都市 #440(449,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,h-12,549,749,2026-6-1712:03:17,frame_0317,"#503[Lghs」が#440【BAJ】領有中のLv.z都市 #440(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#440,h-14,649,749,2026-6-2012:48:47,frame_0355,"#440[Gc行]が#480[BgNa]領有中のL.2都市 #480(749,649)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2025-6-20 12:52:52 #476[476A」が#440[BAJ】領有中のLV.2都市 #440(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 目 破壊履歴"
#440,h-16,749,749,2026-6-1012:41:02,frame_0242,"#503[5tjが#440[TaW」領有中のLv.2都市#440(749,749)を Th市G1 味やうたメ！他術口体.一七味十印5止1土 確定 全て受取 目 破壊履歴"
#440,h-18,849,749,2026-6-1020:03:21,frame_0250,"#503[299]が#440[TrX]領有中のLV.1都市#440(849,749)を 攻撃し、陣営のために破壊宝箱xこを勝ち取りました"
#440,h-20,949,749,2026-6-1712:30:29,frame_0321,"#503[UMN」が#440[TaW]領有中のL.1都市 #440(949,749)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 目 破壊履歴"
#440,i-2,49,849,2026-6-1704:17:57,frame_0310,"#480[BgNa]が#440[GoDs]領有中のL.1都市 #440(49,849)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#440,i-4,149,849,2026-6-2020:09:03,frame_0361,"#480[BgNa]が#440[Gcc]領有中のLV.1都市 #440(149,849)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#440,i-6,249,849,2026-6-1712:08:02,frame_0320,"#480[CDf8」が#440[G0Ds]領有中のLV.1都市 #440(249,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#440,i-8,349,849,2026-6-1020:20:33,frame_0257,"#480[CDf8」が#440領有中のLV.1都市#440(349,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,i-10,449,849,2026-6-612:40:34,frame_0205,"#503[TIKW」が#440[Gcc]領有中のL.1都市 #440(449,849)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#440,i-12,549,849,2026-6-1300:03:46,frame_0255,"#480[CDf8]が#440領有中のLV.1都市#440(549,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,i-14,649,849,2026-6-620:27:43,frame_0212,"#534[89M]が#480[Digg]領有中のLV.1都市 #480(149,549)を攻撃し、陣営のために破壊宝額x2を勝 ち取りました 2026-6-6 203036 #476[476k]が#440領有中のL.1都市#440(649,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,i-16,749,849,2026-6-1312:33:27,frame_0284,"#480[RCON]が#440[TaW]領有中のLV.1都市 #440(749,849)を攻撃し、陣営のために破壊宝額xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#440,i-18,849,849,2026-5-3020:15:30,frame_0124,"#480[AAOA」が#440領有中のL.1都市#440(849,849)を 攻撃し、陣営のために破壊宝箱xをち取りました"
#440,i-20,949,849,2026-6-612:19:14,frame_0199,"#503[fzn]が#440[TaW]領有中のLV.1都市#440(949,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#440,,449,5649,2026-6-1704:13:42,frame_0306,"#476[476A」が#440[Gcc]領有中のLV.3都市 #440(449,5649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#476,g-2,49,649,2026-5-2713:05:47,frame_0052,"#534[89M]が#476領有中のLV.1都市#476(49,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#476,i-2,49,849,2026-5-2720:02:15,frame_0057,"#534[n09]が#476[476H]領有中のLV.1都市#476(49,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#476,i-12,549,849,2026-6-312:11:40,frame_0154,"#534[SHA]が#476[476A]領有中のLV.1都市 #475(549,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#476,i-14,649,849,2026-6-312:50:01,frame_0173,"#534[4tH]が#476[476H]領有中のLV.1都市 #476(649,849)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#480,b-2,49,149,2026-6-1004:03:11,frame_0214,"#440[TaW」が#480[PmP】領有中のL.1都市 #480(49,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,b-6,249,149,2026-5-2703:09:40,frame_0010,"#440[GoDs]が#480[PmP]領有中のL.1都市 #480(249,149)を攻撃し、陣宮のために破壊宝箱xを勝 ち取りました"
#480,b-8,349,149,2026-5-2710:36:13,frame_0012,"#440[GoDs]が#480[BgNa]領有中のLV.1都市 #480(349,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,b-14,649,149,2026-6-320:47:28,frame_0179,"#440[Gcc]が#480[WbW」領有中のL.1都市 #480(649,149)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#480,b-16,749,149,2026-6-320:54:01,frame_0180,"#440[Gcc]が#480[cDf8]領有中のLV.1都市 #480(749,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,b-20,949,149,2026-6-1720:37:37,frame_0336,"#440[TaW」が#480[AAOA]領有中のLV.1都市 #480(949,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,c-2,49,249,2026-6-604:41:42,frame_0192,"#534[4tH]が#480[PmP]領有中のLV.1都市#480(49,249)を 攻撃し、陣営のために破壊宝箱x2を勝ち取りました 2n>6-6-6 04-42.71 碓定 全て受取 破壊履歴"
#480,c-4,149,249,2026-6-604:39:29,frame_0192,"#534[4tH]が#480[PmP]領有中のLV.1都市 #480(149,249)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#480,c-6,249,249,2026-5-2712:07:41,frame_0022,"#440[BA」」が#480[BgNa]領有中のLv.2都市 #480(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,c-10,449,249,2026-5-3012:08:03,frame_0092,"#440【GcC]が#480[BgNa]領有中のLV.z都市 #480(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち印りキし.た 碓定 全て受取 破壊履歴"
#480,c-12,549,249,2026-5-3012:15:33,frame_0096,"#440【Gcc]が#480[WbW]領有中のLV.2都市 #480(549,249)を攻撃し、陣営のために破壊宝額x5を勝 ち取りました"
#480,c-14,649,249,2026-5-2712:19:52,frame_0033,"#509[5s0]が#480[cDf8]領有中のLv.2都市 #480(649,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,c-16,749,249,2026-5-2712:17:15,frame_0028,"#509[5s0]が#480[CDf8]領有中のLV.2都市 #480(749,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,c-18,849,249,2026-6-1720:43:42,frame_0337,"#509[MOn]が#480[AAOA]領有中のLV.1都市 #480(849,249)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#480,c-20,949,249,2026-6-2020:04:50,frame_0357,"#440[TaW」が#480[pigg]領有中のLV.1都市 #480(949,249)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,d-2,49,349,2026-6-1004:03:18,frame_0214,"#534[4tH]が#480[PmP]領有中のLV.1都市#480(49,349)を 確定 全て受取 破壊履歴"
#480,d-4,149,349,2026-6-1004:06:11,frame_0216,"#440[TaW」が#480[PmP]領有中のLV.1都市 #480(149,349)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#480,d-6,249,349,2026-5-3012:03:15,frame_0082,"#440[GoDs]が#480[WbW]領有中のLV.2都市 #480(249,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,d-8,349,349,2026-5-2719:02:21,frame_0056,"#440[BA」]が#480[Wbu]領有中のLV.3都市 #480(349,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#480,d-10,449,349,2026-5-2720:04:34,frame_0062,"#440[Gcc]が#480[BgNa]領有中のLV.3都市 #480(449,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#480,d-12,549,349,2026-5-2720:23:18,frame_0067,"#440[Gcc]が#480[WbW」領有中のL.3都市 #480(549,349)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#480,d-14,649,349,2026-5-3012:04:15,frame_0085,"#509[5s0]が#480[BgNa]領有中のLV.3都市 #480(649,349)を攻撃し、陣営のために破壊宝額*10を 碓定 全て受取 三！ 破壊履歴"
#480,d-16,749,349,2026-6-312:01:48,frame_0144,"#509[5s0]が#480[cDf8]領有中のLV.2都市 #480(749,349)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,d-18,849,349,2026-6-2004:08:57,frame_0339,"#509[MOn]が#480[AAOA]領有中のLV.1都市 #480(849,349)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,e-2,49,449,2026-6-1017:33:27,frame_0247,"#534[n09]が#480[PmP]領有中のL.1都市#480(49,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#480,e-4,149,449,2026-6-1004:02:51,frame_0214,"#534[4tH]が#480[PmP】領有中のLV.1都市 #480(149,449)を攻撃し、陣営のために破壊宝額xを勝 ち取りました"
#480,e-6,249,449,2026-5-3004:02:33,frame_0072,"#440[GoDs]が#480[TkTk]領有中のL.2都市 #480(249,449)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,e-8,349,449,2026-5-3012:32:51,frame_0111,"#440[BA」」が#480[BgNa]領有中のLv.3都市 #480(349,449)を攻撃し、陣営のために破壊宝箱x10を 脳ち取りました 碓定 全て受取 三！ 破壊履歴"
#480,e-14,649,449,2026-5-3012:01:48,frame_0078,"#509[5s0]が#480[cDf8]領有中のLV.3都市 #480(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 碓定 全て受取 三！ 破壊履歴"
#480,e-16,749,449,2026-6-1712:07:36,frame_0318,"#509[MOn]が#480[cDf8]領有中のLV.2都市 #480(749,449)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,f-2,49,549,2026-6-620:18:03,frame_0208,"#440[G0Dsが#480[0igg]領有中のLV.1都市 #480(49,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,f-4,149,549,2026-6-620:27:43,frame_0211,"#534[89M]が#480[Digg]領有中のLV.1都市 #480(149,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,f-8,349,549,2026-5-3020:14:50,frame_0123,"#440[BA」」が#480[BgNa]領有中のLV.3都市 #480(349,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#480,f-10,449,549,2026-6-1012:14:16,frame_0231,"#440[Gcc]が#480[RCON]領有中のLV.3都市 #480(449,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#480,f-16,749,549,2026-6-2004:02:42,frame_0337,"#509[5s0]が#480[AAOA】領有中のLv.2都市 #480(749,549)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,g-2,49,649,2026-6-1004:07:33,frame_0216,"#534[KTVS]が#480[TkTk]領有中のLV.1都市 #480(49,649)を攻撃し、陣営のために破壊宝箱xを勝 大印のキ1.た 碓定 全て受取 目 破壊履歴"
#480,g-4,149,649,2026-6-1004:30:34,frame_0221,"#534[89M]が#480[TkTk]領有中のLV.1都市 #480(149,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,g-10,449,649,2026-6-1012:14:16,frame_0230,"#440[GcC]が#480[RCON]領有中のLV.3都市 #480(449,649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました"
#480,g-16,749,649,2026-6-2012:48:47,frame_0353,"#440[Gcc]が#480[BgNa]領有中のL.2都市 #480(749,649)を攻撃し、陣営のために破壊宝箱x5を勝 碓定 全て受取 目 破壊履歴"
#480,g-18,849,649,2026-6-2012:27:52,frame_0349,"#509[5s0]が#480[BgNa]領有中のL.1都市 #480(849,649)を攻撃し、陣営のために破壊宝箱xを勝 碓定 全て受取 目 破壊履歴"
#480,h-2,49,749,2026-5-3012:16:10,frame_0097,"#534[JDX]が#480[MtG]領有中のLV.1都市#480(49,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#480,h-4,149,749,2026-5-3012:22:46,frame_0106,"#534[DX]が#480[MtG]領有中のLV.1都市#480(149,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#480,h-8,349,749,2026-6-312:11:05,frame_0153,"#534[KTVS]が#480[TkTk]領有中のLv.2都市 #480(349,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,h-14,649,749,2026-6-2012:46:58,frame_0353,"#440[BA」】が#480[Wbu]領有中のLv.2都市 #480(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,h-16,749,749,2026-6-1720:27:54,frame_0333,"#440[Gcc]が#480[AAOA]領有中のL.2都市 #480(749,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました"
#480,i-2,49,849,2026-5-3012:18:07,frame_0100,"#509[FHX】が#480[RCON]領有中のLV.1都市 #480(49,849)を攻撃し、陣営のために破壊宝箱x2を勝 ち取りました"
#480,i-4,149,849,2026-5-3012:19:54,frame_0102,"#509[FHX]が#480[RCON]領有中のL.1都市 #480(149,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,i-6,249,849,2026-6-312:13:11,frame_0157,"#534[KTVS]が#480[RCON]領有中のL.1都市 #480(249,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,i-8,349,849,2026-6-1012:14:36,frame_0232,"#509[BHE]が#480[RCON]領有中のLV.1都市 #480(349,849)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました"
#480,j-2,49,949,2026-6-512:21:18,frame_0202,"#509[MOn]が#480[MtG]領有中のLV.1都市#480(49,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#480,j-4,149,949,2026-6-612:21:34,frame_0200,"#509[BHE]が#480[Mtc]領有中のLV.1都市 #480(149,949)を攻撃し、陣営のために破壊宝額x2を勝 ち取りました 碓定 全て受取 破壊履歴"
#480,j-6,249,949,2026-6-604:43:21,frame_0193,"#534[KTVS]が#480領有中のL.1都市#480(249,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#480,j-8,349,949,2026-6-612:14:58,frame_0198,"#534[DX]が#480[TkTk]領有中のLV.1都市 #480(349,949)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 碓定 全て受取 三！ 破壊履歴"
#509,a-4,149,49,2026-5-2700:11:44,frame_0001,"#476[476z]が#509領有中のL.1都市#509(149,49)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました"
#509,a-6,249,49,2026-5-2700:04:30,frame_0001,"#476[4762]が#509領有中のLV.1都市#509(249,49)を 攻撃し、陣営のために破壊宝箱xをち取りました"
#509,a-8,349,49,2026-5-2700:17:43,frame_0001,"#476[ALj】が#509領有中のLV.1都市#509(349,49)を攻 撃し、陣営のために破壊宝箱xをち取りました"
