row,name,old_total,new_total,old_band,new_band,old_form,new_form,old_first,new_first,old_job,new_job,changed,safe_to_apply,flags,vote_source,comment_source,vote_score,comment_score,comment_text
72,ケロ丸,253.69,259.82,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,56.05,56.73,エンジニア,エンジニア,True,True,,IMG_2356.PNG,IMG_2364.PNG,1.0,1.0,アダスカ56.73エンジニア AN
73,Revo 鷹R,253.66,,9_50M以上～55M未満,,,,,,,,False,False,,,,,,
74,三SUN SUN三,250.97,301.62,9_50M以上～55M未満,8_55M以上〜58M未満,戦,,55.69,56.2,エンジニア,エンジニア,True,True,large_total_delta,IMG_2356.PNG,IMG_2368.PNG,1.0,1.0,56.20Mエンジニア
75,LastかえるR,245.53,259.98,6_60M以上〜62M未満,6_60M以上〜62M未満,航,,60.27,60.72,指導者,指導者,True,True,,IMG_2351.PNG,IMG_2377.PNG,0.875,0.824,+60.72Mn 指導者
76,ツナ缶食べ隊,240,257.7,,9_50M以上～55M未満,,戦,,53,,エンジニア,True,True,,IMG_2362.PNG,IMG_2367.PNG,1.0,1.0,戦車53mエンジニア
77,SÜPRĒMŌ,239.63,203.3,,9_50M以上～55M未満,戦,,50.5,,エンジニア,,True,True,large_total_delta,IMG_2360.PNG,,1.0,,
78,呷八覇,238.07,,,,,,,,,,False,False,,,,,,
79,Boss B,236.71,243.19,,a_50M未満,,戦,,45.05,,,True,True,,IMG_2363.PNG,IMG_2369.PNG,1.0,1.0,Tank 45.05M Enqineer
80,Shamshie,235.05,245.93,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,50.63,51.4,エンジニア,エンジニア,True,True,,IMG_2360.PNG,IMG_2376.PNG,1.0,1.0,"51.40M tank, engineer"
81,Wolveress23,235.03,265.36,,9_50M以上～55M未満,航,航,51.7,52.85,エンジニア,エンジニア,True,False,low_comment_match;large_total_delta,IMG_2360.PNG,IMG_2376.PNG,1.0,0.818,52.85M aircraft engineer A'
82,PHL Pjia,232.33,244.93,,9_50M以上～55M未満,,戦,,50.32,,エンジニア,True,True,,IMG_2362.PNG,IMG_2372.PNG,1.0,0.933,Tank 50.32 Engineer 恩
83,K18footballer,223.8,240.25,9_50M以上～55M未満,9_50M以上～55M未満,戦,戦,50.17,50.96,エンジニア,エンジニア,True,True,,IMG_2361.PNG,IMG_2377.PNG,1.0,1.0,戦車 50.96 エンジニア
84,LERROYYYY,221.73,,,,,,,,,,False,False,,,,,,
85,ATLANTIC HALO,216.73,230.45,a_50M未満,9_50M以上～55M未満,戦,戦,49.8,50.93,エンジニア,エンジニア,True,True,,IMG_2359.PNG,IMG_2367.PNG,1.0,1.0,戦車50.93M私エンジニア
86,Jinstars,216.18,,,,,,,,,,False,False,,,,,,
87,へ亟へ,215.71,,,,,,,,,,False,False,,,,,,
88,ぷるPuru,212.06,248.43,8_55M以上〜58M未満,8_55M以上〜58M未満,戦,戦,55.8,57.57,指導者,,True,True,large_total_delta,IMG_2358.PNG,IMG_2370.PNG,1.0,1.0,戦車57.57M指導 -T
89,桃nagareda,211.96,237.82,,9_50M以上～55M未満,,戦,,50.01,,エンジニア,True,True,large_total_delta,IMG_2360.PNG,IMG_2377.PNG,1.0,1.0,戦車50.01Mエンジニア AN
90,レッチャ,201.58,,,,戦,,46.21,,エンジニア,,False,False,,,,,,
91,Sunnouk,201.37,,,,,,,,,,False,False,,,,,,
92,PHL Sai,196.85,,,,,,,,,,False,False,,,,,,
93,pecten,178.49,214.07,a_50M未満,a_50M未満,戦,戦,44.4,44.9,エンジニア,エンジニア,True,True,large_total_delta,IMG_2363.PNG,IMG_2374.PNG,1.0,0.923,戦車44.9M私エンジニア
94,OLDヤンガス,177.14,218.95,a_50M未満,a_50M未満,戦,戦,46.17,46.76,エンジニア,エンジニア,True,False,low_comment_match;large_total_delta,IMG_2363.PNG,IMG_2366.PNG,1.0,0.75,戦車46.76Mエンジニア
95,ひでとん9120,176.26,,,,,,,,,,False,False,,,,,,
96,DeveshS,172.93,,,,,,,,,,False,False,,,,,,
97,youuuuri,168.02,189.61,a_50M未満,a_50M未満,戦,,43.02,,エンジニア,,True,True,,IMG_2363.PNG,,0.933,,
