reason,sheet_row,target_server,x,y,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,existing_type,event_type,kind_sheet
existing_newer,516,#480,299,978,2026/06/03 23:49,2026/05/22 20:46:00,JDX,GX99,IMG_0582.PNG,"連盟GX99がLV.1漁場 #480(X:299,Y:978)を 占領",,,
existing_newer,1600,#534,399,499,2026/06/04 7:26,2026/05/22 21:12:00,476C,4tH,IMG_0583.PNG,"連盟4tHがLV.4漁場 #534(X:399,Y:499)を占 領",,,
existing_newer,456,#480,199,599,2026/06/03 23:55,2026/05/22 21:44:00,Digg,TkTk,IMG_0584.PNG,"連盟TKTkがLV.2漁場 #480(X:199,Y:599)を 占領",,,
existing_newer,1990,#8061,174,824,2026/06/01 4:39,2026/05/22 22:10:00,476H,476C,IMG_0584.PNG,"連盟476CがLV.7漁場 #8061(X:174,Y:824)を 占領",,,
type_mismatch,1176,#511,49,349,,2026/05/22 23:15:00,JL2,Stj,IMG_0586.PNG,"連盟Stjは連盟JLOのLV.3交易地 #511(X:49,Y:349)を奪い",漁場,交易地,
type_mismatch,273,#476,549,949,,2026/05/22 23:15:00,R6q,476A,IMG_0587.PNG,"連盟476Aは連盟476AのLV.4交易地 #476(X:549,Y:949)を奪い",漁場,交易地,
type_mismatch,724,#503,49,849,,2026/05/22 23:15:00,YDR,TIKW,IMG_0587.PNG,"連盟TIKWは連盟LghsのLV.1交易地 #503(X:49,Y:849)を奪い",漁場,交易地,
type_mismatch,721,#503,49,449,,2026/05/22 23:15:00,FarM,one,IMG_0588.PNG,"連盟oneは連盟LghsのLV.4交易地 #503(X:49,Y:449)を奪い",漁場,交易地,
type_mismatch,58,#440,949,949,,2026/05/22 23:15:00,GoDs,TaW,IMG_0588.PNG,"連盟TaWは連盟BAJのLV.1交易地 #440(X:949,Y:949) を奪い",漁場,交易地,
type_mismatch,959,#509,949,549,,2026/05/22 23:15:00,tWD,476B,IMG_0589.PNG,"連盟476Bは連盟FHXのLV.4交易地 #509(X:949,Y:549)を奪い",漁場,交易地,
type_mismatch,1597,#534,49,49,,2026/05/22 23:15:00,KTVS,Lghs,IMG_0592.PNG,"連盟Lghsは連盟DXのLV.1交易地 #534(X:49,Y:49)を奪い",漁場,交易地,
type_mismatch,722,#503,49,549,,2026/05/22 23:15:00,YDR,Stj,IMG_0593.PNG,"連盟Stjは連盟GX99のLV.4交易地 #503(X:49,Y:549)を奪い",漁場,交易地,
type_mismatch,958,#509,949,249,,2026/05/22 23:15:00,FHX,476A,IMG_0593.PNG,"連盟476Aは連盟SSQのLV.2交易地 #509(X:949,Y:249)を奪い",漁場,交易地,
type_mismatch,1596,#534,849,49,,2026/05/22 23:15:00,f4j,476A,IMG_0596.PNG,"連盟476Aは連盟KTVSのLV.1交易地 #534(X:849,Y:49)を奪い",漁場,交易地,
type_mismatch,1177,#511,49,449,,2026/05/22 23:15:00,sbM,AAOA,IMG_0598.PNG,"連盟AAOAは連盟JLOのLV.4交易地 #511(X:49,Y:449)を奪い",漁場,交易地,
type_mismatch,1372,#523,949,749,,2026/05/22 23:15:00,EDFS,SsQ,IMG_0598.PNG,"連盟SSQは連盟EDFSのLV.2交易地 #523(X:949,Y:749)を奪い",漁場,交易地,
type_mismatch,1370,#523,949,49,,2026/05/22 23:15:00,K4TR,nO9,IMG_0601.PNG,"連盟nO9は連盟NBNHのLV.1交易地 #523(X:949,Y:49)を奪い",漁場,交易地,
existing_newer,957,#509,949,149,2026/06/03 22:12,2026/05/22 23:15:00,476B,476B,IMG_0601.PNG,"連盟476Bは連盟FHXのLV.1交易地 #509(X:949,Y:149)を奪い",,,
type_mismatch,274,#476,849,949,,2026/05/22 23:15:00,R6g,476Z,IMG_0602.PNG,"連盟476Zは連盟476BのLV.1交易地 #476(X:849,Y:949)を奪い",漁場,交易地,
type_mismatch,1371,#523,949,649,,2026/05/22 23:15:00,5DU,SsQ,IMG_0604.PNG,"連盟SsQは連盟K4TRのLV.3交易地 #523(X:949,Y:649)を奪い",漁場,交易地,
type_mismatch,723,#503,49,649,,2026/05/22 23:15:00,GX99,Lghs,IMG_0604.PNG,"連盟Lghsは連盟oneのLV.3交易地 #503(X:49,Y:649)を奪い",漁場,交易地,
existing_newer,512,#480,349,49,2026/06/03 14:21,2026/05/22 23:15:00,RCON,RCON,IMG_0606.PNG,"連盟RCONは連盟RCONのLV.3交易地 #480(X:349,Y:49)を奪い",,,
type_mismatch,1369,#523,949,349,,2026/05/22 23:20:00,5DU,476X,IMG_0608.PNG,"連盟476Xは連盟NBNHのLV.3交易地 #523(X:949,Y:349)7 を奪い",漁場,交易地,
existing_newer,269,#440,649,949,2026/06/04 3:22,2026/05/22 23:20:00,476A,476A,IMG_0608.PNG,"連盟476Aは連盟GODSのLV.3交易地 #440(X:649,Y:949)を奪い",,,
type_mismatch,715,#503,599,699,,2026/05/22 23:26:00,GX99,UMN,IMG_0611.PNG,"連盟UMNがLV.3漁場 #503(X:599,Y:699)を 占領",交易地,漁場,
type_mismatch,1368,#523,949,549,,2026/05/22 23:32:00,UrE,476A,IMG_0613.PNG,"連盟476Aは連盟NBNHのLV.4交易地 #523(X:949,Y:549)を奪い",漁場,交易地,
existing_newer,506,#480,849,49,2026/05/22 23:39,2026/05/22 23:32:00,BgNa,BgNa,IMG_0613.PNG,"連盟BgNaは連盟BgNaのLV.1交易地 #480(X:849,Y:49)を奪い",,,
existing_newer,269,#476,649,949,2026/06/04 3:22,2026/05/22 23:39:00,476A,GcC,IMG_0614.PNG,"連盟GCCは連盟476BのLV.3交易地 #476(X:649,Y:949)7 を奪い",,,
type_mismatch,1590,#534,499,99,,2026/05/22 23:39:00,476A,TRh,IMG_0614.PNG,"連盟TrhがLV.1漁場 #534(X:499,Y:99)を占領",交易地,漁場,
type_mismatch,714,#503,599,799,,2026/05/22 23:39:00,Lghs,UMN,IMG_0615.PNG,"連盟UMNがLV.2漁場 #503(X:599,Y:799)を 占領",交易地,漁場,
type_mismatch,51,#440,799,399,,2026/05/22 23:39:00,BAJ,TaW,IMG_0616.PNG,"連盟TaWがLV.2漁場 #440(X:799,Y:399)を占 領",交易地,漁場,
existing_newer,1977,#8061,924,274,2026/05/24 3:23,2026/05/23 10:28:00,ALj,PmP,IMG_0644.PNG,"連盟PmPがLV.6漁場 #8061(X:924,Y:274)を 占領",,,
type_mismatch,1170,#511,199,599,,2026/05/23 10:28:00,fIrE,JL2,IMG_0644.PNG,"連盟L2がLV.2漁場 #511(X:199,Y:599)を占 領",交易地,漁場,
row_not_found,,#480,649,149,,2026/05/23 10:36:00,,WbW,IMG_0644.PNG,"連盟WbWがLV.1湿地の村 #480(X:649,Y:149)を占領",,,都市
existing_newer,2005,#8061,774,24,2026/05/24 3:45,2026/05/23 10:41:00,CDf8,BgNa,IMG_0568.PNG,"連盟BgNaがLV.5漁場 #8061(X:774,Y:24)を 占領",,,
type_mismatch,712,#503,349,549,,2026/05/23 11:02:00,GX99,GX99,IMG_0645.PNG,"連盟GX99がLV.3湿地の集会場 #503(X:349,Y:549)を占領",交易地,都市,
type_mismatch,1168,#511,349,349,,2026/05/23 11:02:00,476d,2N7,IMG_0645.PNG,"連盟2N7がLV.3密林の集会場 #511(X:349,Y:349)を占領",交易地,都市,
existing_newer,1186,#511,699,978,2026/06/04 10:30,2026/05/23 11:11:00,DaNG,WbW,IMG_0568.PNG,"連盟WbWがLV.1漁場 #511(X:699,Y:978)を 占領",,,
existing_newer,1184,#511,699,799,2026/05/31 7:48,2026/05/23 11:23:00,GoDs,DaNG,IMG_0569.PNG,"連盟DaNGがLV.2漁場 #511(X:699,Y:799)を 占領",,,
existing_newer,2003,#8061,374,124,2026/05/24 7:41,2026/05/23 11:23:00,AAOA,JL0,IMG_0569.PNG,"連盟LOがLV.7漁場 #8061(X:374,Y:124)を占 領",,,
existing_newer,1122,#511,199,99,2026/05/27 15:18,2026/05/23 11:23:00,K4TR,SVh,IMG_0569.PNG,"連盟SVhがLV.1漁場 #511(X:199,Y:99)を占 領",,,
existing_newer,2002,#8061,724,74,2026/05/24 8:12,2026/05/23 11:40:00,AAOA,WbW,IMG_0570.PNG,"連盟WbWがLV.6漁場 #8061(X:724,Y:74)を 占領",,,
type_mismatch,34,#440,549,349,,2026/05/23 20:59:00,BAJ,BAJ,IMG_0742.PNG,"連盟BAがLV.3密林の集会場 #440(X:549,Y:349)を占領",密林の集会場,都市,
type_mismatch,32,#440,649,349,,2026/05/23 20:59:00,BAJ,BAJ,IMG_0742.PNG,"連盟BAがLV.3密林の集会場 #440(X:649,Y:349)を占領",密林の集会場,都市,
type_mismatch,31,#440,649,549,,2026/05/23 21:15:00,GcC,GcC,IMG_0744.PNG,"連盟GcCがLV.3密林の集会場 #440(X:649,Y:549)を占領",密林の集会場,都市,
type_mismatch,30,#440,649,449,,2026/05/23 21:58:00,aTA,GcC,IMG_0744.PNG,"連盟GCCがLV.3密林の集会場 #440(X:649,Y:449)を占領",漁場,都市,
row_not_found,,#480,349,549,,2026/05/23 22:40:00,,BgNa,IMG_0745.PNG,"連盟BgNaがLV.3湿地の集会場 #480(X:349,Y:549)を占領",,,都市
existing_newer,481,#480,349,449,2026/05/30 12:34,2026/05/23 22:40:00,破壊,BgNa,IMG_0745.PNG,"連盟BgNaがLV.3湿地の集会場 #480(X:349,Y:449)を占領",,,
existing_newer,697,#503,349,749,2026/05/23 22:52,2026/05/23 22:40:00,FarM,FarM,IMG_0745.PNG,"連盟FarMがLV.2湿地の兵舎 #503(X:349,Y:749)を占領",,,
type_mismatch,1585,#534,949,149,,2026/05/23 22:52:00,w6F,W6f,IMG_0745.PNG,"連盟w6fがLV.1密林の村#534(X:949,Y:149) を占領",密林の村,都市,
type_mismatch,1584,#534,149,249,,2026/05/23 23:01:00,W6f,nO9,IMG_0746.PNG,"連盟nO9がLV.1密林の村 #534(X:149,Y:249) を占領",漁場,都市,
existing_newer,1158,#511,799,699,2026/05/23 23:07,2026/05/23 23:01:00,WbW,WbW,IMG_0746.PNG,"連盟WbWがLV.2漁場 #511(X:799,Y:699)を 占領",,,
existing_newer,1971,#8061,924,624,2026/05/24 8:24,2026/05/23 23:07:00,2N7,BAJ,IMG_0747.PNG,"連盟BAは連盟MtGのLV.6漁場 #8061(X:924,Y:624)を奪い",,,
existing_newer,1157,#511,978,978,2026/05/23 23:14,2026/05/23 23:07:00,SVa,CDf8,IMG_0749.PNG,"連盟CDf8は連盟SVaのLV.1漁場 #511(X:978,Y:978)を奪い",,,
existing_newer,1970,#8061,974,624,2026/05/24 9:53,2026/05/23 23:07:00,SVa,GcC,IMG_0749.PNG,"連盟GcCは連盟MtGのLV.5漁場 #8061(X:974,Y:624)を奪い",,,
type_mismatch,1581,#534,949,549,,2026/05/23 23:07:00,JDX,89M,IMG_0749.PNG,"連盟89MがLV.1密林の村#534(X:949,Y:549) を占領",交易地,都市,
type_mismatch,1582,#534,549,849,,2026/05/23 23:07:00,KTVS,f4j,IMG_0749.PNG,"連盟f4jがLV.1密林の村 #534(X:549,Y:849)を 占領",交易地,都市,
existing_newer,1349,#523,978,299,2026/06/03 15:08,2026/05/23 23:14:00,2N7,EDFS,IMG_0750.PNG,"連盟EDFSは連盟2N7のLV.1漁場 #523(X:978,Y:299)を奪い",,,
existing_newer,256,#476,549,49,2026/05/23 23:24,2026/05/23 23:14:00,476M,476M,IMG_0750.PNG,"連盟476MがLV.1湿地の村 #476(X:549,Y:49) を占領",,,
existing_newer,1348,#523,978,199,2026/05/30 15:18,2026/05/23 23:14:00,5DU,K4TR,IMG_0750.PNG,"連盟K4TRは連盟2N7のLV.1漁場 #523(X:978,Y:199)を奪い",,,
existing_newer,921,#509,978,20,2026/06/03 22:12,2026/05/23 23:14:00,Stj,one,IMG_0751.PNG,"連盟oneは連盟SSQのLV.1漁場 #509(X:978,Y:20)を奪い",,,
existing_newer,257,#476,449,349,2026/05/23 23:24,2026/05/23 23:14:00,476B,476B,IMG_0751.PNG,"連盟476BがLV.3湿地の集会場 #476(X:449,Y:349)を占領",,,
existing_newer,255,#476,449,49,2026/05/23 23:24,2026/05/23 23:14:00,476M,476M,IMG_0751.PNG,"連盟476MがLV.1湿地の村 #476(X:449,Y:49) を占領",,,
existing_newer,1578,#534,199,699,2026/05/23 23:24,2026/05/23 23:14:00,RGWC,RGWC,IMG_0751.PNG,"連盟RGWCがLV.2漁場 #534(X:199,Y:699)を 占領",,,
existing_newer,922,#509,799,799,2026/05/23 23:24,2026/05/23 23:14:00,Stj,Stj,IMG_0752.PNG,"連盟StjがLV.2漁場 #509(X:799,Y:799)を占 領",,,
existing_newer,1155,#511,499,899,2026/05/23 23:24,2026/05/23 23:14:00,476X,476X,IMG_0752.PNG,"連盟476XがLV.1漁場 #511(X:499,Y:899)を 占領",,,
existing_newer,1156,#511,899,899,2026/05/23 23:24,2026/05/23 23:14:00,CDf8,CDf8,IMG_0752.PNG,"連盟CDf8がLV.1漁場 #511(X:899,Y:899)を 占領",,,
existing_newer,1350,#523,899,899,2026/05/23 23:24,2026/05/23 23:14:00,JL0,476Z,IMG_0752.PNG,"連盟476Zは連盟JLOのLV.1漁場 #523(X:899,Y:899)を奪い",,,
existing_newer,476,#480,299,299,2026/05/23 23:24,2026/05/23 23:14:00,WbW,GoDs,IMG_0753.PNG,"連盟GoDSは連盟WbWのLV.3漁場 #480(X:299,Y:299)を奪い",,,
existing_newer,1579,#534,299,699,2026/05/23 23:24,2026/05/23 23:14:00,RGWC,RGWC,IMG_0753.PNG,"連盟RGWCがLV.3漁場 #534(X:299,Y:699)を 占領",,,
type_mismatch,1580,#534,749,949,,2026/05/23 23:24:00,Dao,Dao,IMG_0753.PNG,"連盟DaoがLV.1密林の村 #534(X:749,Y:949) を占領",密林の村,都市,
existing_newer,1150,#511,20,399,2026/05/23 23:30,2026/05/23 23:24:00,2N7,5DU,IMG_0754.PNG,"連盟5DUは連盟2N7のLV.1漁場 #511(X:20,Y:399)を奪い",,,
existing_newer,920,#509,299,299,2026/05/30 23:41,2026/05/23 23:24:00,tWD,JDX,IMG_0754.PNG,"連盟DXがLV.3漁場 #509(X:299,Y:299)を占 領",,,
existing_newer,475,#480,299,399,2026/06/04 11:07,2026/05/23 23:24:00,RCON,BAJ,IMG_0754.PNG,"連盟BAがLV.3漁場 #480(X:299,Y:399)を占 領",,,
existing_newer,1577,#534,749,649,2026/06/03 23:55,2026/05/23 23:24:00,89M,KTVS,IMG_0754.PNG,"連盟KTVSがLV.2密林の兵舎 #534(X:749,Y:649)を占領",,,
existing_newer,474,#480,20,299,2026/05/23 23:35,2026/05/23 23:24:00,PmP,AAOA,IMG_0755.PNG,"連盟AAOAは連盟PmPのLV.1漁場 #480(X:20,Y:299)を奪い",,,
row_not_found,,#8061,924,824,,2026/05/23 23:24:00,,TkTk,IMG_0755.PNG,"連盟TkTkは連盟SSQのLV.6漁場 #8061(X:924,Y:824)を奪い",,,漁場
existing_newer,1347,#523,249,149,2026/05/24 0:45,2026/05/23 23:35:00,K4TR,K4TR,IMG_0861.PNG,"連盟K4TRがLV.1湿地の村 #523(X:249,Y:149)を占領",,,
existing_newer,266,#476,699,899,2026/06/01 9:41,2026/05/24 00:08:00,476B,476H,IMG_0631.PNG,"連盟476HがLV.1漁場 #476(X:699,Y:899)を 占領",,,
type_mismatch,505,#480,199,799,,2026/05/24 00:21:00,RCON,RCON,IMG_0631.PNG,"連盟RCONがLV.2漁場 #480(X:199,Y:799)を 占領",交易地,漁場,
existing_newer,1148,#511,299,399,2026/05/28 7:10,2026/05/24 00:45:00,fIrE,JL0,IMG_0861.PNG,"連盟JLOがLV.3漁場 #511(X:299,Y:399)を占 領",,,
existing_newer,1146,#511,99,99,2026/05/24 0:50,2026/05/24 00:45:00,u3o,u3o,IMG_0861.PNG,"連盟u30がLV.1漁場 #511(X:99,Y:99)を占領",,,
existing_newer,284,#476,899,20,2026/06/01 23:09,2026/05/24 00:47:00,476X,fIrE,IMG_0553.PNG,"連盟fIrEがLV.1漁場 #476(X:899,Y:20)を占領",,,
existing_newer,253,#476,449,649,2026/05/24 1:06,2026/05/24 00:50:00,476A,476A,IMG_0862.PNG,"連盟476AがLV.3湿地の集会場 #476(X:449,Y:649)を占領",,,
type_mismatch,1587,#534,599,99,,2026/05/24 00:58:00,SHA,TRh,IMG_0632.PNG,"連盟TrhがLV.1漁場 #534(X:599,Y:99)を占領",交易地,漁場,
type_mismatch,504,#480,799,199,,2026/05/24 00:58:00,BAJ,AAOA,IMG_0632.PNG,"連盟AAOAがLV.2漁場 #480(X:799,Y:199)を 占領",交易地,漁場,
existing_newer,969,#509,699,978,2026/05/30 23:41,2026/05/24 01:03:00,hMt,0TT,IMG_0554.PNG,"連盟OTTがLV.1漁場 #509(X:699,Y:978)を占 領",,,
existing_newer,1145,#511,199,499,2026/06/03 15:12,2026/05/24 01:06:00,5DU,JL2,IMG_0862.PNG,"連盟L2がLV.2漁場 #511(X:199,Y:499)を占 領",,,
existing_newer,1144,#511,699,399,2026/05/30 15:34,2026/05/24 01:14:00,WbW,sbM,IMG_0863.PNG,"連盟sbMがLV.3漁場 #511(X:699,Y:399)を占 領",,,
row_not_found,,#523,149,349,,2026/05/24 01:28:00,,EDFS,IMG_0863.PNG,"連盟EDFSがLV.1湿地の村#523(X:149,Y:349) を占領",,,都市
row_not_found,,#523,149,249,,2026/05/24 01:32:00,,EDFS,IMG_0864.PNG,"連盟EDFSがLV.1湿地の村 #523(X:149,Y:249) を占領",,,都市
type_mismatch,503,#480,99,599,,2026/05/24 01:38:00,BAJ,Digg,IMG_0633.PNG,"連盟DiggがLV.1漁場 #480(X:99,Y:599)を占 領",交易地,漁場,
type_mismatch,265,#476,799,899,,2026/05/24 01:38:00,476d,476H,IMG_0633.PNG,"連盟476HがLV.1漁場 #476(X:799,Y:899)を 占領",交易地,漁場,
existing_newer,2016,#8061,324,974,2026/06/05 16:04,2026/05/24 01:55:00,KOCH,VEX,IMG_0554.PNG,"連盟VEXがLV.5漁場 #8061(X:324,Y:974)を 占領",,,
existing_newer,29,#440,499,199,2026/05/24 2:38,2026/05/24 02:04:00,DOLU,DOLU,IMG_0865.PNG,"連盟DOLUがLV.2漁場 #440(X:499,Y:199)を 占領",,,
existing_newer,264,#476,799,699,2026/05/29 14:51,2026/05/24 02:14:00,476H,476d,IMG_0634.PNG,"連盟476dがLV.2漁場 #476(X:799,Y:699)を 占領",,,
type_mismatch,1364,#523,799,399,,2026/05/24 02:21:00,nO9,u3o,IMG_0634.PNG,"連盟u30がLV.2漁場 #523(X:799,Y:399)を占 領",交易地,漁場,
existing_newer,251,#476,99,499,2026/05/24 3:29,2026/05/24 02:47:00,476H,476H,IMG_0865.PNG,"連盟476HがLV.1漁場 #476(X:99,Y:499)を占 領",,,
existing_newer,1985,#8061,874,974,2026/06/04 11:07,2026/05/24 03:07:00,AoW,MOn,IMG_0635.PNG,"連盟MOnがLV.5漁場 #8061(X:874,Y:974)を 占領",,,
existing_newer,2015,#8061,774,974,2026/05/27 23:46,2026/05/24 03:08:00,TkTk,BHE,IMG_0555.PNG,"連盟BHEがLV.5漁場 #8061(X:774,Y:974)を 占領",,,
existing_newer,2014,#8061,824,924,2026/05/27 23:37,2026/05/24 03:08:00,TIKW,BHE,IMG_0555.PNG,"連盟BHEがLV.6漁場 #8061(X:824,Y:924)を 占領",,,
existing_newer,2013,#8061,774,874,2026/06/05 12:27,2026/05/24 03:28:00,AoW,MOn,IMG_0556.PNG,"連盟MOnがLV.7漁場 #8061(X:774,Y:874)を 占領",,,
existing_newer,940,#509,599,199,2026/05/24 7:55,2026/05/24 03:28:00,BHE,VEX,IMG_0556.PNG,"連盟VEXがLV.2漁場 #509(X:599,Y:199)を占 領",,,
existing_newer,283,#476,599,799,2026/06/03 23:41,2026/05/24 03:28:00,476d,476K,IMG_0557.PNG,"連盟476KがLV.2漁場 #476(X:599,Y:799)を 占領",,,
existing_newer,1346,#523,20,978,2026/05/24 3:32,2026/05/24 03:29:00,UrE,UrE,IMG_0865.PNG,"連盟UrEがLV.1漁場 #523(X:20,Y:978)を占領",,,
row_not_found,,#476,149,249,,2026/05/24 03:32:00,,476K,IMG_0866.PNG,"連盟476KがLV.1湿地の村 #476(X:149,Y:249) を占領",,,都市
existing_newer,249,#476,149,649,2026/05/24 3:58,2026/05/24 03:32:00,476H,476H,IMG_0866.PNG,"連盟476HがLV.1湿地の村 #476(X:149,Y:649)を占領",,,
existing_newer,952,#509,499,799,2026/06/03 23:41,2026/05/24 04:05:00,Stj,BHE,IMG_0636.PNG,"連盟BHEがLV.2漁場 #509(X:499,Y:799)を占 領",,,
type_mismatch,1363,#523,799,599,,2026/05/24 04:10:00,476X,NBNH,IMG_0636.PNG,"連盟NBNHがLV.2漁場 #523(X:799,Y:599)を 占領",交易地,漁場,
existing_newer,968,#509,399,399,2026/06/03 23:29,2026/05/24 04:11:00,89M,SsQ,IMG_0558.PNG,"連盟SSQがLV.4漁場 #509(X:399,Y:399)を占 領",,,
existing_newer,1143,#511,199,399,2026/05/30 23:13,2026/05/24 04:13:00,5DU,2N7,IMG_0867.PNG,"連盟2N7がLV.2漁場 #511(X:199,Y:399)を占 領",,,
existing_newer,1142,#511,199,299,2026/05/30 23:30,2026/05/24 04:13:00,u3o,2N7,IMG_0867.PNG,"連盟2N7がLV.2漁場 #511(X:199,Y:299)を占 領",,,
type_mismatch,49,#440,99,299,,2026/05/24 04:22:00,GcC,IMP,IMG_0637.PNG,"連盟IMpがLV.1漁場 #440(X:99,Y:299)を占 領",交易地,漁場,
existing_newer,919,#509,749,149,2026/05/30 4:31,2026/05/24 04:30:00,破壊,OWM,IMG_0868.PNG,"連盟OWMがLV.1密林の村 #509(X:749,Y:149)を占領",,,
type_mismatch,1362,#523,899,599,,2026/05/24 04:31:00,476A,EDFS,IMG_0637.PNG,"連盟EDFSがLV.1漁場 #523(X:899,Y:599)を 占領",交易地,漁場,
row_not_found,,#509,849,149,,2026/05/24 05:03:00,,AoW,IMG_0869.PNG,"連盟AoWがLV.1密林の村 #509(X:849,Y:149) を占領",,,都市
type_mismatch,28,#440,649,149,,2026/05/24 05:03:00,DOLU,DOLU,IMG_0869.PNG,"連盟DOLUがLV.1密林の村 #440(X:649,Y:149)を占領",密林の村,都市,
existing_newer,48,#440,299,399,2026/06/03 23:35,2026/05/24 05:07:00,nO9,GoDs,IMG_0638.PNG,"連盟GoDSがLV.3漁場 #440(X:299,Y:399)を 占領",,,
type_mismatch,27,#440,549,149,,2026/05/24 05:27:00,DOLU,DOLU,IMG_0870.PNG,"連盟DOLUがLV.1密林の村 #440(X:549,Y:149)を占領",密林の村,都市,
existing_newer,918,#509,899,99,2026/05/24 6:05,2026/05/24 05:27:00,AoW,AoW,IMG_0870.PNG,"連盟AoWがLV.1漁場 #509(X:899,Y:99)を占 領",,,
existing_newer,1938,#8061,974,324,2026/05/25 5:18,2026/05/24 05:49:00,SsQ,BAJ,IMG_0639.PNG,"連盟BAがLV.5漁場 #8061(X:974,Y:324)を 占領",,,
existing_newer,951,#509,799,199,2026/05/27 23:24,2026/05/24 06:02:00,one,AoW,IMG_0639.PNG,"連盟AoWがLV.2漁場 #509(X:799,Y:199)を 占領",,,
row_not_found,,#509,849,49,,2026/05/24 06:05:00,,AoW,IMG_0870.PNG,"連盟AoWがLV.1密林の村 #509(X:849,Y:49) を占領",,,都市
type_mismatch,949,#509,399,199,,2026/05/24 06:12:00,476A,VEX,IMG_0641.PNG,"連盟VEXがLV.2漁場 #509(X:399,Y:199)を占 領",交易地,漁場,
row_not_found,,#511,449,249,,2026/05/24 06:13:00,,2N7,IMG_0871.PNG,"連盟2N7がLV.2密林の兵舎 #511(X:449,Y:249)を占領",,,都市
existing_newer,967,#509,699,399,2026/05/30 15:18,2026/05/24 06:53:00,GX99,OWM,IMG_0561.PNG,"連盟OWMがLV.3漁場 #509(X:699,Y:399)を 占領",,,
existing_newer,1965,#8061,824,974,2026/06/04 0:08,2026/05/24 07:08:00,OWM,Lghs,IMG_0872.PNG,"連盟Lghsは連盟MOnのLV.5漁場 #8061(X:824,Y:974)を奪い",,,
existing_newer,912,#509,599,299,2026/06/05 2:25,2026/05/24 07:08:00,JL0,476A,IMG_0871.PNG,"連盟476Aは連盟SSQのLV.3漁場 #509(X:599,Y:299)7 を奪い",,,
