target_server,coord,x,y,event_time,actor_server,actor_alliance,defender_alliance,level,text_color,destroyed_by,frame,timestamp_sec,raw_text,sheet_row,current_owner,current_acquired_at
#440,f-18,849,549,2026-6-17 12:02:5,#503,299,TrX,1,red,enemy,range01_frame_000635.png,317.0,"#503[299]が#440[TrX]領有中のLv.1都市 #440(849,549)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",158,TrX,2026/06/07 7:34
#440,f-6,249,549,2026-6-13 04:02:2,#503,Lghs,GoDs,2,red,enemy,range01_frame_000514.png,256.5,"#503[Lghs]が#440[GoDs]領有中のLv.2都市#440(249,549)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",79,GoDs,2026/05/20 11:04
#440,g-16,749,649,2026-6-17 12:04:1,#503,Lghs,TaW,2,red,enemy,range01_frame_000639.png,319.0,"#503[Lghs]が#440[TaW]領有中のLv.2都市 #440(749,649)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",169,,
#440,g-2,49,649,2026-6-13 12:04:5,#480,AA0A,IMp,1,red,enemy,range01_frame_000540.png,269.0,"#480[AA0A]が#440[IMp]領有中のLv.1都市 #440(49,649)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",171,IMP,2026/06/04 7:10
#440,h-10,449,749,2026-6-13 12:14:2,#503,TIKW,GcC,2,red,enemy,range01_frame_000547.png,273.0,"#503[TIKW]が#440[GcC]領有中のLv.2都市 #440(449,749)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",178,,
#440,h-12,549,749,2026-6-17 12:03:1,#503,Lghs,BAJ,2,red,enemy,range01_frame_000635.png,317.0,"#503[Lghs]が#440[BAJ]領有中のLv.2都市 #440(549,749)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",180,,
#440,h-4,149,749,2026-6-13 04:21:,#480,RCON,aTA,1,red,enemy,range01_frame_000522.png,260.0,"#480[RCON]が#440[aTA]領有中のLv.1都市 #440(149,749)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",30,aTA,2026/05/23 20:10
#440,i-12,549,849,2026-6-13 00:49:2,#480,CDf8,,1,red,enemy,range01_frame_000508.png,253.5,"#480[CDf8]が#440領有中のLv.1都市 #440(549,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",194,,
#440,i-16,749,849,2026-6-13 12:36:0,#480,RCON,TaU,1,red,enemy,range01_frame_000569.png,284.0,"#480[RCON]が#440[TaU]領有中のLv.1都市 #440(749,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",41,TaW,2026/05/23 14:06
#440,i-4,149,849,2026-6-20 20:09:0,#480,BgNa,Gcc,1,red,enemy,range01_frame_000727.png,363.0,"#480[BgNa]が#440[Gcc]領有中のLv.1都市 #440(149,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",204,GcC,2026/06/13 11:14
#440,i-8,349,849,2026-6-10,#480,CDf8,,1,blue,ally,range01_frame_000507.png,252.5,"#480[CDf8]が#440 領有中のLv.1都市 #440(349,849)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",206,,
#511,g-16,749,649,2026-6-6 04:13:0,#480,BgNa,SVa,2,red,enemy,range01_frame_000366.png,182.5,"#480[BgNa]が#511[SVa]領有中のLv.2都市 #511(749,649)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1288,,
#511,h-4,149,749,2026-6-20 20:05:1,#523,NBNH,JLO,1,red,enemy,range01_frame_000715.png,357.0,"#523[NBNH]が#511[JLO]領有中のLv.1都市 #511(149,749)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",1193,JL0,2026/06/10 15:07
#523,c-14,649,249,2026-6-20 12:10:11,#440,BAJ,5DU,2,blue,ally,range01_frame_000691.png,345.0,"#440[BAJ]が#523[5DU]領有中のLv.2都市#523(649,249)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1334,5DU,2026/05/24 7:10
#523,f-16,749,549,2026-6-13 12:01:2,#509,FHX,UUG,2,blue,ally,range01_frame_000532.png,265.0,"#509[FHX]が#523[UUG]領有中のLv.2都市 #523(749,549)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1475,,
#523,g-4,149,649,2026-6-20 12:20:30,#534,KTVS,5DU,1,blue,ally,range01_frame_000697.png,348.0,"#534[KTVS]が#523[5DU]領有中のLv.1都市 #523(149,649)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",1492,5DU,2026/06/11 6:45
#523,g-6,249,649,2026-6-13 00:49:20,#534,KTVS,u3o,2,blue,ally,range01_frame_000516.png,257.5,"#534[KTVS]が#523[u3o]領有中のLv.2都市 #523(249,649)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1381,u3o,2026/05/21 2:19
#523,h-16,749,749,2026-6-13 12:23:28,#440,BAJ,WUG,2,blue,ally,range01_frame_000562.png,280.0,"#440[BAJ]が#523[WUG]領有中のLv.2都市#523(749,749)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1502,,
#523,h-18,849,749,2026-6-13 20:16:20,#511,JLO,ALj,1,blue,ally,range01_frame_000593.png,296.0,"#511[JLO]が#476[ALj]領有中のLv.1都市#523(849,749)を攻撃し、陣営のために破壊宝箱×2を勝ち取りました",1348,ALj,2026/06/07 6:08
#523,h-6,249,749,2026-6-17 12:30:2,#534,JDX,flrE,2,blue,ally,range01_frame_000641.png,320.0,"#534[JDX]が#523[flrE]領有中のLv.2都市 #523(249,749)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1508,,
#523,h-8,349,749,2026-6-17 12:40:3,#509,SsQ,flrE,2,blue,ally,range01_frame_000645.png,322.0,"#509[SsQ]が#523[flrE]領有中のLv.2都市 #523(349,749)を攻撃し、陣営のために破壊宝箱×5を勝ち取りました",1345,fIrE,2026/05/23 15:11
