reason,target_server,x,y,sheet_row,existing_at,event_time,existing_owner,owner_for_sheet,image,source_text,existing_type,event_type,kind_sheet
existing_newer,#480,349,149,567,2026/05/28 12:01,2026/05/27 12:01:52,破壊,破壊,frame_0012.png,"#440[GoDs]が#480[BgNa]領有中のLV.1都市 #480(349,149)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:01:52",,,
existing_newer,#509,849,549,1040,2026/05/28 12:02,2026/05/27 12:02:34,破壊,破壊,frame_0016.png,"#503[Bye]が#509[FHX]領有中のLV.1都市 #509(849,549)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:02:34",,,
existing_newer,#511,549,749,1296,2026/05/28 12:03,2026/05/27 12:03:31,破壊,破壊,frame_0017.png,"#476[476X]が#511[DaNG]領有中のLv.2都市 #511(549,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:03:31",,,
existing_newer,#511,649,749,1191,2026/05/28 12:06,2026/05/27 12:06:12,破壊,破壊,frame_0020.png,"#476[476X]が#511[DaNG]領有中のLV.2都市 #511(649,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:06:12",,,
existing_newer,#511,849,649,1289,2026/05/28 12:07,2026/05/27 12:07:38,破壊,破壊,frame_0019.png,"#480[BgNa]が#511領有中のLV.1都市#511(849,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:38",,,
existing_newer,#511,149,149,1237,2026/05/28 12:07,2026/05/27 12:07:41,破壊,破壊,frame_0023.png,"#523[K4TR]が#511[2N7]領有中のLV.1都市#511(149,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:07:41",,,
existing_newer,#480,249,249,580,2026/05/28 12:11,2026/05/27 12:11:30,破壊,破壊,frame_0022.png,"#440[BAが#480[BgNa]領有中のLv.2都市 #480(249,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:11:30",,,
existing_newer,#534,449,249,1638,2026/05/28 12:11,2026/05/27 12:11:39,破壊,破壊,frame_0023.png,"#476[476C]が#534[SHA]領有中のLV.2都市 #534(449,249)を攻撃し、陣営のために破壊宝箱★5を勝 ち取りました 2026-5-27 12:11:39",,,
existing_newer,#534,349,249,1647,2026/05/28 12:13,2026/05/27 12:13:53,破壊,破壊,frame_0024.png,"#476[476c]が#534[SHA]領有中のLV.2都市 #534(349,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:13:53",,,
existing_newer,#509,849,749,1066,2026/05/28 12:17,2026/05/27 12:17:15,破壊,破壊,frame_0027.png,"#503[5t]が#509[MOn]領有中のLV.1都市#509(849,749)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:17:15",,,
existing_newer,#480,749,249,573,2026/05/28 12:17,2026/05/27 12:17:50,破壊,破壊,frame_0028.png,"#509[5s0]が#480[CDf8]領有中のLV.2都市 #480(749,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:17:50",,,
existing_newer,#511,349,149,1239,2026/05/28 12:19,2026/05/27 12:19:24,破壊,破壊,frame_0029.png,"#523[K4TR]が#511領有中のLV.1都市#511(349,149)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:19:24",,,
existing_newer,#511,149,449,1271,2026/05/28 12:19,2026/05/27 12:19:34,破壊,破壊,frame_0033.png,"#523[EDFSが#511領有中のLV.1都市#511(149,449)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:19:34",,,
existing_newer,#509,849,249,1013,2026/05/28 12:19,2026/05/27 12:19:52,破壊,破壊,frame_0032.png,"#480[RCONが#509[5SQ]領有中のLV.1都市 #509(849,249)を攻撃し、陣営のために破壊宝箱＊を勝 ち取りました 2026-5-27 12:19:52",,,
existing_newer,#480,649,249,572,2026/05/28 12:20,2026/05/27 12:20:01,破壊,破壊,frame_0033.png,"#509[5s0]が#480[cDf8]領有中のLv.2都市 #480(649,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:20:01",,,
existing_newer,#509,749,449,1027,2026/05/28 12:20,2026/05/27 12:20:43,破壊,破壊,frame_0034.png,"#503[Lghsが#509[FHX]領有中のLv.2都市 #509(749,449)を攻撃し、陣営のために破壊宝箱★5を勝 ち取りました 2026-5-27 12:20:43",,,
existing_newer,#509,749,749,1065,2026/05/28 12:21,2026/05/27 12:21:12,破壊,破壊,frame_0037.png,"#503[5tj]が#509[M0n]領有中のLv.2都市#509(749,749)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-5-27 12:21:12",,,
existing_newer,#509,449,249,1011,2026/05/28 12:22,2026/05/27 12:22:48,破壊,破壊,frame_0039.png,"#503[Lghsが#509[VEX]領有中のLV.2都市 #509(449,249)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:22:48",,,
existing_newer,#511,249,149,1238,2026/05/28 12:14,2026/05/27 12:23:26,破壊,破壊,frame_0038.png,"#523[u30が#511領有中のLV.1都市#511(249,149)を攻 撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:23:26",,,
existing_newer,#511,649,449,1185,2026/05/28 12:25,2026/05/27 12:25:14,破壊,破壊,frame_0040.png,"#480[BgNa]が#511[5Va]領有中のLv.3都市 #511(649,449)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-5-27 12:25:14",,,
existing_newer,#511,849,949,1320,2026/05/28 12:28,2026/05/27 12:28:41,破壊,破壊,frame_0042.png,"#480[AADAが#511領有中のLv.1都市#511(849,949)を ⑦ 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:28:41",,,
existing_newer,#511,249,749,1302,2026/05/28 12:29,2026/05/27 12:29:10,破壊,破壊,frame_0043.png,"#523[fIrE]が#511領有中のLV.2都市#511(249,749)を攻 撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-5-27 12:29:10",,,
existing_newer,#509,649,849,1076,2026/05/28 12:30,2026/05/27 12:30:02,破壊,破壊,frame_0043.png,"#503[xjR]が#509[OTT]領有中のLV.1都市#509(649,849)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 12:30:02",,,
existing_newer,#511,449,749,1295,2026/05/28 12:33,2026/05/27 12:33:26,破壊,破壊,frame_0044.png,"#523[NBNH]が#511[DaNG]領有中のLv.2都市 #511(449,749)を攻撃し、陣営のために破壊宝箱x5を勝 ち取りました 2026-5-27 12:33:26",,,
existing_newer,#511,649,349,1186,2026/05/28 12:35,2026/05/27 12:35:01,破壊,破壊,frame_0047.png,"#480[WbWが#511[5Va]領有中のLV.3都市 #511(649,349)を攻撃し、陣営のために破壊宝箱＊10を 勝ち取りました 2026-5-27 12:35:01",,,
existing_newer,#509,749,549,1039,2026/05/28 12:01,2026/05/27 12:35:10,破壊,破壊,frame_0048.png,"#503[xjR]が#509[MOn]領有中のLV.2都市#509(749,549)を ⑦ 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-5-27 12:35:10",,,
existing_newer,#509,749,649,1051,2026/05/28 12:35,2026/05/27 12:35:10,破壊,破壊,frame_0050.png,"#503[xjR]が#509[MOn]領有中のLV.2都市#509(749,649)を 攻撃し、陣営のために破壊宝箱x5を勝ち取りました 2026-5-27 12:35:10",,,
existing_newer,#511,949,749,1299,2026/05/28 12:38,2026/05/27 12:38:18,破壊,破壊,frame_0050.png,"#476[476M]が#511領有中のLV.1都市#511(949,749)を 攻撃し、陣営のために破壊宝箱xをち取りました 2026-5-27 12:38:18",,,
existing_newer,#509,849,649,1052,2026/05/28 12:56,2026/05/27 12:56:27,破壊,破壊,frame_0050.png,"#503[UMNが#509[MOn]領有中のLV.1都市 #509(849,649)を攻撃し、陣営のために破壊宝箱xを勝 ち取りました 2026-5-27 12:56:27",,,
existing_newer,#511,749,949,1319,2026/05/28 13:05,2026/05/27 13:05:47,破壊,破壊,frame_0052.png,"#480[AAOAが#511領有中のLV.1都市#511(749,949)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 13:05:47",,,
existing_newer,#476,49,649,395,2026/05/28 13:24,2026/05/27 13:24:45,破壊,破壊,frame_0052.png,"#534[89M]が#476領有中のLV.1都市#476(49,649)を 攻撃し、陣営のために破壊宝箱xを勝ち取りました 2026-5-27 13:24:45",,,
type_mismatch,#534,549,549,1685,,2026/06/06 20:02:53,,破壊,frame_0206.png,"#476[476]が#534[89M]領有中のLV.3都市 #534(549,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-6-6 20:02:53",前哨基地,都市,
type_mismatch,#480,449,549,603,,2026/06/10 12:14:36,,破壊,frame_0231.png,"#440[Gcc]が#480[RCON]領有中のLV.3都市 #480(449,549)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-6-10 12:14:36",前哨基地,都市,
row_not_found,#440,449,5649,,,2026/06/17 04:13:55,,破壊,frame_0306.png,"#476[476Aが#440[Gcc]領有中のLV.3都市 #440(449,5649)を攻撃し、陣営のために破壊宝箱x10を 勝ち取りました 2026-6-17 04:13:55",,,都市
type_mismatch,#523,449,549,1470,,2026/06/20 20:05:18,,破壊,frame_0361.png,"#509[FHXが#523[fIrE]領有中のLV.3都市#523(449,549)を 攻撃し、陣営のために破壊宝箱*10を勝ち取りました 2026-6-20 20:05:18",前哨基地,都市,
